Xaxim;AGROPECUÁRIA;Grande;1;101;;;;;
Xaxim;INDÚSTRIA;Grande;2;2766;;;;;
Xaxim;COMÉRCIO;Grande;1;149;;;;;
Xaxim;TRANSPORTE;Grande;3;1101;;;;;
Xaxim;SERVIÇOS;Grande;1;514;;;;;
Xaxim;SERVIÇOS;Grande;1;724;;;;;
Xaxim;SERVIÇOS;Grande;1;250;;;;;
Xaxim;AGROPECUÁRIA;Média;1;92;;;;;
Xaxim;COMÉRCIO;Média;1;96;;;;;
Xaxim;SERVIÇOS;Média;1;81;;;;;
Xaxim;SERVIÇOS;Média;1;61;;;;;
Xaxim;AGROPECUÁRIA;Micro;26;67;;;;;
Xaxim;INDÚSTRIA;Micro;108;483;;;;;
Xaxim;INDÚSTRIA;Micro;2;1;;;;;
Xaxim;INDÚSTRIA;Micro;3;23;;;;;
Xaxim;INDÚSTRIA;Micro;98;261;;;;;
Xaxim;COMÉRCIO;Micro;278;508;;;;;
Xaxim;TRANSPORTE;Micro;127;59;;;;;
Xaxim;SERVIÇOS;Micro;32;55;;;;;
Xaxim;SERVIÇOS;Micro;8;17;;;;;
Xaxim;SERVIÇOS;Micro;6;6;;;;;
Xaxim;SERVIÇOS;Micro;5;3;;;;;
Xaxim;SERVIÇOS;Micro;32;72;;;;;
Xaxim;SERVIÇOS;Micro;25;24;;;;;
Xaxim;SERVIÇOS;Micro;1;9;;;;;
Xaxim;SERVIÇOS;Micro;11;33;;;;;
Xaxim;SERVIÇOS;Micro;46;35;;;;;
Xaxim;SERVIÇOS;Micro;3;7;;;;;
Xaxim;SERVIÇOS;Micro;37;47;;;;;
Xaxim;AGROPECUÁRIA;Pequena;9;197;;;;;
Xaxim;INDÚSTRIA;Pequena;16;814;;;;;
Xaxim;INDÚSTRIA;Pequena;10;337;;;;;
Xaxim;COMÉRCIO;Pequena;28;444;;;;;
Xaxim;TRANSPORTE;Pequena;20;302;;;;;
Xaxim;SERVIÇOS;Pequena;1;12;;;;;
Xaxim;SERVIÇOS;Pequena;2;28;;;;;
Xaxim;SERVIÇOS;Pequena;4;50;;;;;
Xaxim;SERVIÇOS;Pequena;2;23;;;;;
Xaxim;SERVIÇOS;Pequena;2;31;;;;;
Xaxim;SERVIÇOS;Pequena;3;45;;;;;
Xaxim;SERVIÇOS;Pequena;1;10;;;;;
Xaxim;SERVIÇOS;Pequena;1;16;;;;;
Zortéa;SERVIÇOS;Grande;1;167;;;;;
Zortéa;AGROPECUÁRIA;Micro;16;44;;;;;
Zortéa;INDÚSTRIA;Micro;4;4;;;;;
Zortéa;INDÚSTRIA;Micro;1;2;;;;;
Zortéa;INDÚSTRIA;Micro;6;22;;;;;
Zortéa;COMÉRCIO;Micro;32;42;;;;;
Zortéa;TRANSPORTE;Micro;5;7;;;;;
Zortéa;SERVIÇOS;Micro;3;7;;;;;
Zortéa;SERVIÇOS;Micro;2;1;;;;;
Zortéa;SERVIÇOS;Micro;2;2;;;;;
Zortéa;SERVIÇOS;Micro;1;2;;;;;
Zortéa;SERVIÇOS;Micro;2;2;;;;;
Zortéa;SERVIÇOS;Micro;2;3;;;;;
Zortéa;AGROPECUÁRIA;Pequena;1;17;;;;;
