;;;;
;;Solicitação de dados de empregos e empresas do setorde metalurgia, mecânica e material elétrico da região de Chapecó;;
;;Fonte dos dados: RAIS (2019);;
;;Demandante: Cleodete - Simec;;
;;Execução: Observatório Fiesc;;
;;Data: 27/01/2021;;
Município;Setor;Escolaridade;Empregados;
Abelardo Luz;INDÚSTRIA;Medio completo;7;
Abelardo Luz;INDÚSTRIA;Medio completo;518;
Abelardo Luz;INDÚSTRIA;Medio completo;5;
Abelardo Luz;INDÚSTRIA;Medio completo;7;
Abelardo Luz;INDÚSTRIA;Medio completo;45;
Abelardo Luz;COMÉRCIO;Medio completo;433;
Abelardo Luz;TRANSPORTE;Medio completo;76;
Abelardo Luz;SERVIÇOS;Medio completo;41;
Abelardo Luz;SERVIÇOS;Medio completo;30;
Abelardo Luz;SERVIÇOS;Medio completo;24;
Abelardo Luz;SERVIÇOS;Medio completo;2;
Abelardo Luz;SERVIÇOS;Medio completo;12;
Abelardo Luz;SERVIÇOS;Medio completo;17;
Abelardo Luz;SERVIÇOS;Medio completo;209;
Abelardo Luz;SERVIÇOS;Medio completo;18;
Abelardo Luz;SERVIÇOS;Medio completo;32;
Abelardo Luz;SERVIÇOS;Medio completo;5;
Abelardo Luz;SERVIÇOS;Medio completo;12;
Abelardo Luz;AGROPECUÁRIA;Medio incompleto;35;
Abelardo Luz;INDÚSTRIA;Medio incompleto;165;
Abelardo Luz;INDÚSTRIA;Medio incompleto;20;
Abelardo Luz;COMÉRCIO;Medio incompleto;80;
Abelardo Luz;TRANSPORTE;Medio incompleto;9;
Abelardo Luz;SERVIÇOS;Medio incompleto;10;
Abelardo Luz;SERVIÇOS;Medio incompleto;4;
Abelardo Luz;SERVIÇOS;Medio incompleto;4;
Abelardo Luz;SERVIÇOS;Medio incompleto;5;
Abelardo Luz;SERVIÇOS;Medio incompleto;2;
Abelardo Luz;SERVIÇOS;Medio incompleto;15;
Abelardo Luz;SERVIÇOS;Medio incompleto;6;
Abelardo Luz;SERVIÇOS;Medio incompleto;1;
Abelardo Luz;SERVIÇOS;Medio incompleto;6;
Abelardo Luz;AGROPECUÁRIA;Pós-graduação;1;
Abelardo Luz;SERVIÇOS;Pós-graduação;1;
Abelardo Luz;AGROPECUÁRIA;Superior Completo;33;
