"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Araquari";"R";-1;NA
"Araquari";"S";-8;22
"Araquari";"T";NA;1
"Araranguá";"A";-3;-1
"Araranguá";"B";-2;0
"Araranguá";"C";49;249
"Araranguá";"E";-1;1
"Araranguá";"F";-3;15
"Araranguá";"G";54;32
"Araranguá";"H";31;11
"Araranguá";"I";22;13
"Araranguá";"J";0;-2
"Araranguá";"K";0;-2
"Araranguá";"L";3;2
"Araranguá";"M";-4;24
"Araranguá";"N";-18;12
"Araranguá";"P";2;14
"Araranguá";"Q";2;1
"Araranguá";"R";2;3
"Araranguá";"S";0;16
"Armazém";"A";0;-1
"Armazém";"C";-22;27
"Armazém";"F";3;-4
"Armazém";"G";-2;8
"Armazém";"H";0;4
"Armazém";"I";1;1
"Armazém";"J";1;-1
"Armazém";"K";NA;1
"Armazém";"M";-2;1
"Armazém";"P";-1;NA
"Armazém";"Q";NA;4
"Armazém";"R";NA;0
"Armazém";"S";NA;1
"Arroio Trinta";"A";-3;-1
"Arroio Trinta";"C";-15;6
"Arroio Trinta";"G";-4;3
"Arroio Trinta";"H";1;-1
"Arroio Trinta";"I";-1;1
"Arroio Trinta";"J";-1;0
"Arroio Trinta";"M";NA;1
"Arroio Trinta";"Q";-1;1
"Arroio Trinta";"R";NA;-3
"Arvoredo";"A";6;14
"Arvoredo";"C";-3;4
"Arvoredo";"F";NA;-1
"Arvoredo";"G";7;-1
"Arvoredo";"H";4;-1
"Arvoredo";"I";1;-1
"Arvoredo";"S";-2;-2
"Ascurra";"A";NA;1
"Ascurra";"C";-27;22
"Ascurra";"E";-3;8
"Ascurra";"F";2;-2
"Ascurra";"G";-14;-4
"Ascurra";"H";-1;-1
"Ascurra";"I";3;2
"Ascurra";"J";NA;0
"Ascurra";"K";NA;1
"Ascurra";"M";-1;0
"Ascurra";"N";NA;1
"Ascurra";"Q";-1;NA
"Ascurra";"S";-5;6
"Atalanta";"A";3;-1
