"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Correia Pinto";"A";-17;1
"Correia Pinto";"B";-1;NA
"Correia Pinto";"C";-163;40
"Correia Pinto";"F";8;2
"Correia Pinto";"G";10;-2
"Correia Pinto";"H";-1;2
"Correia Pinto";"I";-5;0
"Correia Pinto";"J";NA;1
"Correia Pinto";"M";-1;NA
"Correia Pinto";"N";0;NA
"Correia Pinto";"P";0;1
"Correia Pinto";"Q";NA;-1
"Correia Pinto";"R";-2;NA
"Correia Pinto";"S";NA;-1
"Corupá";"A";-2;1
"Corupá";"C";-88;127
"Corupá";"F";NA;-3
"Corupá";"G";3;12
"Corupá";"H";NA;2
"Corupá";"I";2;3
"Corupá";"J";NA;5
"Corupá";"K";-1;NA
"Corupá";"L";1;NA
"Corupá";"M";-6;7
"Corupá";"N";NA;-1
"Corupá";"P";NA;4
"Corupá";"Q";NA;1
"Corupá";"R";-1;2
"Corupá";"S";1;0
"Criciúma";"A";-1;3
"Criciúma";"B";-2;-2
"Criciúma";"C";-28;234
"Criciúma";"D";-2;3
"Criciúma";"E";41;-21
"Criciúma";"F";-154;-99
"Criciúma";"G";112;119
"Criciúma";"H";27;31
"Criciúma";"I";32;299
"Criciúma";"J";9;23
"Criciúma";"K";4;-11
"Criciúma";"L";1;4
"Criciúma";"M";3;70
"Criciúma";"N";40;16
"Criciúma";"P";-41;93
"Criciúma";"Q";117;61
"Criciúma";"R";-32;26
"Criciúma";"S";-14;18
"Cunha Porã";"A";0;1
"Cunha Porã";"C";-18;19
"Cunha Porã";"F";-1;-5
"Cunha Porã";"G";14;8
"Cunha Porã";"H";-2;2
"Cunha Porã";"I";1;0
"Cunha Porã";"J";-1;1
"Cunha Porã";"K";2;-1
"Cunha Porã";"M";NA;2
"Cunha Porã";"N";-1;NA
"Cunha Porã";"P";-1;1
"Cunha Porã";"Q";2;-2
"Cunha Porã";"S";0;2
"Cunhataí";"A";1;NA
"Cunhataí";"C";NA;-1
"Cunhataí";"G";0;6
"Cunhataí";"H";-1;1
"Cunhataí";"S";1;NA
"Curitibanos";"A";-6;3
"Curitibanos";"B";-3;0
"Curitibanos";"C";0;47
"Curitibanos";"E";2;2
"Curitibanos";"F";3;14
"Curitibanos";"G";25;27
"Curitibanos";"H";5;5
"Curitibanos";"I";0;-28
"Curitibanos";"J";0;0
"Curitibanos";"K";1;2
"Curitibanos";"L";NA;0
"Curitibanos";"M";-2;-2
"Curitibanos";"N";4;3
"Curitibanos";"P";-24;-3
"Curitibanos";"Q";6;10
"Curitibanos";"R";NA;-1
"Curitibanos";"S";-3;4
"Descanso";"A";1;0
"Descanso";"C";-5;2
"Descanso";"F";-6;1
"Descanso";"G";-2;8
"Descanso";"H";-1;-1
"Descanso";"I";2;1
"Descanso";"J";NA;1
"Descanso";"N";1;3
"Descanso";"P";NA;1
"Descanso";"Q";1;0
"Descanso";"R";NA;1
"Descanso";"S";-1;1
"Dionísio Cerqueira";"A";-1;1
"Dionísio Cerqueira";"B";2;NA
"Dionísio Cerqueira";"C";-4;-1
"Dionísio Cerqueira";"E";-1;NA
"Dionísio Cerqueira";"F";-2;0
"Dionísio Cerqueira";"G";-1;18
"Dionísio Cerqueira";"H";0;1
"Dionísio Cerqueira";"I";4;0
"Dionísio Cerqueira";"J";NA;1
"Dionísio Cerqueira";"M";-1;0
"Dionísio Cerqueira";"N";1;3
"Dionísio Cerqueira";"Q";-1;1
"Dionísio Cerqueira";"R";-1;NA
"Dona Emma";"A";NA;-1
"Dona Emma";"C";-33;24
"Dona Emma";"F";NA;2
"Dona Emma";"G";1;3
"Dona Emma";"H";0;0
"Dona Emma";"I";NA;0
"Dona Emma";"M";NA;0
"Dona Emma";"N";NA;1
"Dona Emma";"S";-3;-3
"Doutor Pedrinho";"C";-26;-8
"Doutor Pedrinho";"G";-5;3
"Doutor Pedrinho";"H";NA;1
"Doutor Pedrinho";"I";0;0
"Doutor Pedrinho";"O";-47;30
"Doutor Pedrinho";"Q";NA;-1
"Doutor Pedrinho";"R";NA;1
"Entre Rios";"C";NA;-2
"Entre Rios";"G";-4;5
"Entre Rios";"N";1;1
"Ermo";"A";-1;-1
"Ermo";"C";7;10
"Ermo";"F";NA;-1
"Ermo";"G";1;1
"Ermo";"H";-2;3
"Ermo";"S";NA;1
"Erval Velho";"A";0;0
"Erval Velho";"C";-3;-3
"Erval Velho";"E";NA;-1
"Erval Velho";"F";NA;-1
"Erval Velho";"G";-5;13
"Erval Velho";"H";1;-4
"Erval Velho";"I";2;1
"Erval Velho";"N";-1;NA
"Erval Velho";"S";-2;NA
"Faxinal dos Guedes";"A";-4;13
"Faxinal dos Guedes";"C";-44;21
"Faxinal dos Guedes";"F";-3;-4
"Faxinal dos Guedes";"G";-4;10
"Faxinal dos Guedes";"H";7;1
"Faxinal dos Guedes";"I";-1;2
"Faxinal dos Guedes";"J";0;NA
"Faxinal dos Guedes";"K";NA;1
"Faxinal dos Guedes";"M";NA;-2
"Faxinal dos Guedes";"P";NA;0
"Faxinal dos Guedes";"Q";0;4
"Flor do Sertão";"A";NA;1
"Flor do Sertão";"C";-7;-2
"Flor do Sertão";"G";-1;3
"Flor do Sertão";"H";-1;-2
"Florianópolis";"A";-7;3
"Florianópolis";"B";6;1
"Florianópolis";"C";58;46
"Florianópolis";"D";3;12
"Florianópolis";"E";1;-9
"Florianópolis";"F";-143;211
"Florianópolis";"G";1000;-165
"Florianópolis";"H";-6;28
"Florianópolis";"I";1088;-163
"Florianópolis";"J";-203;153
"Florianópolis";"K";17;32
"Florianópolis";"L";28;23
"Florianópolis";"M";6;165
"Florianópolis";"N";111;124
"Florianópolis";"O";-628;-25
"Florianópolis";"P";-118;383
"Florianópolis";"Q";32;138
"Florianópolis";"R";6;38
"Florianópolis";"S";-40;35
"Florianópolis";"U";NA;-1
"Formosa do Sul";"A";-1;-2
"Formosa do Sul";"C";NA;0
"Formosa do Sul";"F";NA;-2
"Formosa do Sul";"G";0;1
"Formosa do Sul";"H";-2;-1
"Formosa do Sul";"I";-1;-2
"Formosa do Sul";"J";1;0
"Formosa do Sul";"N";NA;-1
"Formosa do Sul";"Q";NA;-1
"Forquilhinha";"A";-1;NA
"Forquilhinha";"B";-1;0
"Forquilhinha";"C";-4;106
"Forquilhinha";"E";2;3
"Forquilhinha";"F";0;13
"Forquilhinha";"G";-13;-6
"Forquilhinha";"H";-13;-4
"Forquilhinha";"I";-6;3
"Forquilhinha";"J";-1;-1
"Forquilhinha";"L";-1;NA
"Forquilhinha";"M";-3;-2
"Forquilhinha";"N";-4;-3
"Forquilhinha";"P";-7;1
"Forquilhinha";"Q";-1;1
"Forquilhinha";"R";NA;0
"Forquilhinha";"S";1;9
"Fraiburgo";"A";-416;-202
"Fraiburgo";"B";-1;NA
"Fraiburgo";"C";-48;19
"Fraiburgo";"E";-1;2
"Fraiburgo";"F";-17;-2
"Fraiburgo";"G";-24;0
"Fraiburgo";"H";-6;71
"Fraiburgo";"I";5;5
"Fraiburgo";"J";1;3
"Fraiburgo";"K";NA;2
"Fraiburgo";"L";-1;-1
"Fraiburgo";"M";-2;5
"Fraiburgo";"N";-3;4
"Fraiburgo";"P";-4;6
"Fraiburgo";"Q";-3;6
"Fraiburgo";"R";-1;NA
"Fraiburgo";"S";-1;7
"Frei Rogério";"C";1;0
"Frei Rogério";"G";-1;-5
"Frei Rogério";"K";1;-1
"Galvão";"C";0;0
"Galvão";"G";1;-1
"Galvão";"H";NA;-1
"Galvão";"M";NA;1
"Galvão";"Q";NA;1
"Garopaba";"A";NA;1
"Garopaba";"C";11;24
"Garopaba";"E";-1;-1
"Garopaba";"F";1;-4
"Garopaba";"G";253;-119
"Garopaba";"H";0;-1
"Garopaba";"I";176;-80
"Garopaba";"J";0;3
"Garopaba";"K";0;-1
"Garopaba";"L";1;1
"Garopaba";"M";1;5
"Garopaba";"N";3;-4
"Garopaba";"P";-5;37
"Garopaba";"Q";4;6
"Garopaba";"R";-1;-3
"Garopaba";"S";8;0
"Garuva";"A";-1;3
"Garuva";"B";0;-1
"Garuva";"C";-14;12
"Garuva";"E";NA;1
"Garuva";"F";3;0
"Garuva";"G";-2;15
"Garuva";"H";-2;12
"Garuva";"I";-2;12
"Garuva";"J";1;1
"Garuva";"M";-1;0
"Garuva";"N";-1;-1
"Garuva";"P";1;2
"Garuva";"Q";NA;1
"Garuva";"R";0;2
"Garuva";"S";-2;-2
"Gaspar";"A";-1;-2
"Gaspar";"B";1;1
"Gaspar";"C";-337;410
"Gaspar";"E";5;2
"Gaspar";"F";-11;4
"Gaspar";"G";18;74
"Gaspar";"H";-34;1
"Gaspar";"I";-3;30
"Gaspar";"J";1;10
"Gaspar";"K";-1;1
"Gaspar";"L";-1;6
"Gaspar";"M";-13;-3
"Gaspar";"N";-8;19
"Gaspar";"O";-476;296
"Gaspar";"P";-3;21
"Gaspar";"Q";-1;2
"Gaspar";"R";-2;4
"Gaspar";"S";-3;0
"Gaspar";"T";NA;1
"Governador Celso Ramos";"A";-1;3
"Governador Celso Ramos";"C";4;-3
"Governador Celso Ramos";"F";-6;-5
"Governador Celso Ramos";"G";46;-15
"Governador Celso Ramos";"H";7;-3
"Governador Celso Ramos";"I";55;-9
"Governador Celso Ramos";"J";NA;1
"Governador Celso Ramos";"L";3;-2
"Governador Celso Ramos";"M";0;1
"Governador Celso Ramos";"N";17;-1
"Governador Celso Ramos";"R";0;NA
"Governador Celso Ramos";"S";-2;1
"Grão Pará";"A";-5;14
"Grão Pará";"C";-7;11
"Grão Pará";"D";-1;-1
"Grão Pará";"F";NA;-1
"Grão Pará";"G";-1;0
"Grão Pará";"H";-2;0
"Grão Pará";"I";NA;-1
"Grão Pará";"M";NA;1
"Grão Pará";"N";1;2
"Grão Pará";"S";1;NA
"Gravatal";"A";NA;-1
"Gravatal";"B";-1;3
"Gravatal";"C";-23;36
"Gravatal";"D";-2;0
"Gravatal";"E";2;NA
"Gravatal";"F";-5;5
"Gravatal";"G";6;1
"Gravatal";"H";0;8
"Gravatal";"I";13;8
"Gravatal";"L";NA;-1
"Gravatal";"M";-1;1
"Gravatal";"N";5;3
"Gravatal";"Q";-1;NA
"Gravatal";"R";-1;1
"Gravatal";"S";0;-2
"Guabiruba";"C";-112;142
"Guabiruba";"E";1;3
"Guabiruba";"F";-3;-9
"Guabiruba";"G";-2;-6
"Guabiruba";"H";-3;3
"Guabiruba";"I";-1;1
"Guabiruba";"L";NA;0
"Guabiruba";"M";-1;3
"Guabiruba";"N";-2;9
"Guabiruba";"P";-2;3
"Guabiruba";"Q";-1;-1
"Guabiruba";"S";NA;2
"Guaraciaba";"A";-1;3
"Guaraciaba";"C";-30;7
"Guaraciaba";"F";0;2
"Guaraciaba";"G";0;2
"Guaraciaba";"H";1;2
"Guaraciaba";"I";1;3
"Guaraciaba";"J";1;NA
"Guaraciaba";"K";-1;1
"Guaraciaba";"M";-1;NA
"Guaraciaba";"N";NA;-1
"Guaraciaba";"P";1;3
"Guaraciaba";"Q";2;0
"Guaraciaba";"R";NA;-2
"Guaramirim";"A";1;-1
"Guaramirim";"B";-1;-1
"Guaramirim";"C";-185;215
"Guaramirim";"E";3;7
"Guaramirim";"F";-16;1
"Guaramirim";"G";5;28
"Guaramirim";"H";15;16
"Guaramirim";"I";0;22
"Guaramirim";"J";4;2
"Guaramirim";"K";-1;1
"Guaramirim";"L";-1;NA
"Guaramirim";"M";1;3
"Guaramirim";"N";-32;4
"Guaramirim";"O";-24;NA
"Guaramirim";"P";-4;4
"Guaramirim";"Q";3;5
"Guaramirim";"R";-2;-2
"Guaramirim";"S";1;-1
"Guarujá do Sul";"B";0;NA
"Guarujá do Sul";"C";5;10
"Guarujá do Sul";"F";-1;0
"Guarujá do Sul";"G";-3;1
"Guarujá do Sul";"H";-9;7
"Guarujá do Sul";"I";0;NA
"Guarujá do Sul";"J";NA;0
"Guarujá do Sul";"M";-2;1
"Guarujá do Sul";"N";NA;1
"Guatambú";"A";3;0
"Guatambú";"C";6;42
"Guatambú";"F";-9;-15
"Guatambú";"G";-2;2
"Guatambú";"H";-5;-1
"Guatambú";"I";-1;1
"Guatambú";"N";-1;6
"Guatambú";"S";NA;14
"Herval d'Oeste";"A";-8;1
"Herval d'Oeste";"C";-6;14
"Herval d'Oeste";"F";-7;3
"Herval d'Oeste";"G";3;18
"Herval d'Oeste";"H";2;5
"Herval d'Oeste";"I";1;-3
"Herval d'Oeste";"J";2;2
"Herval d'Oeste";"M";-1;1
"Herval d'Oeste";"N";8;4
"Herval d'Oeste";"P";0;3
"Herval d'Oeste";"Q";NA;2
"Herval d'Oeste";"R";NA;-1
"Herval d'Oeste";"S";0;-1
"Ibiam";"A";1;1
"Ibiam";"C";2;-6
"Ibiam";"F";-1;1
"Ibiam";"G";NA;2
"Ibiam";"H";3;NA
"Ibiam";"K";NA;0
"Ibiam";"M";NA;-1
"Ibiam";"O";NA;-1
"Ibiam";"S";1;1
"Ibicaré";"A";-4;3
"Ibicaré";"B";NA;-1
"Ibicaré";"C";-5;1
"Ibicaré";"F";-3;0
"Ibicaré";"G";-2;1
"Ibicaré";"H";2;0
"Ibicaré";"J";NA;0
"Ibicaré";"M";NA;-19
"Ibicaré";"Q";NA;1
"Ibirama";"C";-95;111
"Ibirama";"F";4;7
"Ibirama";"G";-2;14
"Ibirama";"H";1;4
"Ibirama";"I";0;3
"Ibirama";"J";-1;1
"Ibirama";"K";4;7
"Ibirama";"L";NA;1
"Ibirama";"M";-1;-1
"Ibirama";"N";-1;-4
"Ibirama";"P";-3;-3
"Ibirama";"Q";-2;-1
"Ibirama";"R";NA;-1
"Ibirama";"S";-2;4
"Içara";"A";-1;2
"Içara";"B";-3;6
"Içara";"C";-10;82
"Içara";"D";-1;4
"Içara";"E";1;-1
"Içara";"F";2;-2
"Içara";"G";-8;14
"Içara";"H";2;22
"Içara";"I";2;-6
"Içara";"J";2;2
"Içara";"K";0;0
"Içara";"L";-2;7
"Içara";"M";3;6
"Içara";"N";55;-27
"Içara";"O";4;1
"Içara";"P";-3;9
"Içara";"Q";4;17
"Içara";"R";0;2
"Içara";"S";-5;21
"Ilhota";"A";-2;NA
"Ilhota";"C";-15;80
"Ilhota";"F";-2;3
"Ilhota";"G";12;19
"Ilhota";"H";0;1
"Ilhota";"I";3;2
"Ilhota";"J";1;2
"Ilhota";"M";-1;0
"Ilhota";"N";-32;76
"Ilhota";"Q";-1;-1
"Ilhota";"S";1;NA
"Imaruí";"C";-3;0
"Imaruí";"F";-11;8
"Imaruí";"G";4;2
"Imaruí";"H";-1;NA
"Imaruí";"J";NA;0
"Imaruí";"M";NA;-2
"Imaruí";"N";NA;1
"Imaruí";"Q";3;1
"Imaruí";"S";NA;0
"Imbituba";"A";NA;2
"Imbituba";"B";-11;1
"Imbituba";"C";-6;-8
"Imbituba";"E";2;1
"Imbituba";"F";-8;12
"Imbituba";"G";163;-3
"Imbituba";"H";-18;-13
"Imbituba";"I";175;-8
"Imbituba";"J";1;2
"Imbituba";"K";NA;0
"Imbituba";"L";0;NA
"Imbituba";"M";-3;9
"Imbituba";"N";0;-15
"Imbituba";"O";-201;67
"Imbituba";"P";-4;12
"Imbituba";"Q";-7;7
"Imbituba";"R";4;3
"Imbituba";"S";-1;8
"Imbuia";"C";12;4
"Imbuia";"E";NA;0
"Imbuia";"F";-13;NA
"Imbuia";"G";68;-2
"Imbuia";"H";1;2
"Imbuia";"K";-1;1
"Imbuia";"M";0;0
"Imbuia";"Q";-1;0
"Imbuia";"S";NA;0
"Indaial";"A";-7;6
"Indaial";"B";1;0
"Indaial";"C";-308;313
"Indaial";"E";-4;0
"Indaial";"F";4;83
"Indaial";"G";-22;17
"Indaial";"H";6;0
"Indaial";"I";-19;12
"Indaial";"J";-2;-3
"Indaial";"K";0;2
"Indaial";"L";0;1
"Indaial";"M";-6;8
"Indaial";"N";16;15
"Indaial";"O";-1;-1
"Indaial";"P";-42;-341
"Indaial";"Q";12;14
"Indaial";"R";NA;-1
"Indaial";"S";-1;7
"Iomerê";"A";-3;0
"Iomerê";"B";-1;-1
"Iomerê";"C";-2;5
"Iomerê";"G";-1;0
"Iomerê";"H";-19;1
"Iomerê";"N";2;1
"Ipira";"A";-1;NA
"Ipira";"C";-1;1
"Ipira";"F";0;-2
"Ipira";"G";1;1
"Ipira";"H";NA;1
"Ipira";"I";1;-2
"Ipira";"K";-1;NA
"Ipira";"N";0;NA
"Ipira";"Q";-1;1
"Ipira";"S";-1;NA
"Iporã do Oeste";"A";NA;2
"Iporã do Oeste";"C";-7;-6
"Iporã do Oeste";"F";3;0
"Iporã do Oeste";"G";-3;13
"Iporã do Oeste";"H";3;-2
"Iporã do Oeste";"I";NA;0
"Iporã do Oeste";"K";1;-1
"Iporã do Oeste";"M";NA;2
"Iporã do Oeste";"N";0;2
"Iporã do Oeste";"P";0;-1
"Iporã do Oeste";"Q";1;4
"Iporã do Oeste";"S";-2;-1
"Ipuaçu";"A";NA;1
"Ipuaçu";"C";-3;-19
"Ipuaçu";"G";3;-1
"Ipuaçu";"H";1;-2
"Ipuaçu";"I";NA;0
"Ipuaçu";"K";1;NA
"Ipuaçu";"M";NA;1
"Ipuaçu";"Q";1;NA
"Ipumirim";"A";7;-4
"Ipumirim";"C";-49;12
"Ipumirim";"E";-4;-3
"Ipumirim";"F";0;NA
"Ipumirim";"G";-1;-1
"Ipumirim";"H";-3;2
"Ipumirim";"I";NA;-1
"Ipumirim";"K";NA;-1
"Ipumirim";"Q";0;1
"Ipumirim";"S";1;3
"Iraceminha";"C";-1;0
"Iraceminha";"F";-2;NA
"Iraceminha";"G";-1;7
"Iraceminha";"H";NA;1
"Iraceminha";"I";NA;3
"Iraceminha";"K";-1;NA
"Iraceminha";"N";NA;1
"Iraceminha";"S";2;4
"Irani";"A";0;-1
"Irani";"C";-2;7
"Irani";"F";-5;11
"Irani";"G";0;1
"Irani";"H";2;12
"Irani";"I";1;0
"Irani";"K";-1;1
"Irani";"M";0;-2
"Irani";"N";1;4
"Irani";"P";NA;-2
"Irani";"Q";-2;-1
"Irani";"S";1;-1
"Irati";"C";-5;-10
"Irati";"E";-2;-1
"Irati";"F";-1;NA
"Irati";"G";1;1
"Irati";"H";0;1
"Irati";"S";1;1
"Irineópolis";"A";-1;2
"Irineópolis";"C";-1;6
"Irineópolis";"F";NA;2
"Irineópolis";"G";-4;0
"Irineópolis";"H";NA;5
"Irineópolis";"I";2;NA
"Irineópolis";"J";1;1
"Irineópolis";"K";NA;1
"Irineópolis";"M";NA;-1
"Irineópolis";"Q";NA;0
"Irineópolis";"S";NA;0
"Itá";"A";NA;-2
"Itá";"C";-12;2
"Itá";"E";-1;NA
"Itá";"F";-1;-2
"Itá";"G";-4;3
"Itá";"H";-2;-3
"Itá";"I";5;9
"Itá";"J";-3;NA
"Itá";"M";1;1
"Itá";"N";29;-5
"Itá";"P";3;2
"Itá";"Q";1;NA
"Itá";"R";3;-1
"Itá";"S";NA;3
"Itaiópolis";"A";-2;-3
"Itaiópolis";"C";4;-8
"Itaiópolis";"F";-1;2
"Itaiópolis";"G";17;18
"Itaiópolis";"H";4;-1
"Itaiópolis";"I";-4;1
"Itaiópolis";"J";NA;-1
"Itaiópolis";"K";-1;NA
"Itaiópolis";"M";NA;1
"Itaiópolis";"N";-1;0
"Itaiópolis";"P";-2;4
"Itaiópolis";"Q";NA;-1
"Itaiópolis";"S";-3;4
"Itajaí";"A";-25;85
"Itajaí";"B";NA;7
"Itajaí";"C";-148;280
"Itajaí";"D";-2;2
"Itajaí";"E";14;11
"Itajaí";"F";-173;84
"Itajaí";"G";126;220
"Itajaí";"H";213;350
"Itajaí";"I";86;73
"Itajaí";"J";-2;34
"Itajaí";"K";5;21
"Itajaí";"L";-6;19
"Itajaí";"M";49;40
"Itajaí";"N";587;106
"Itajaí";"O";-626;285
"Itajaí";"P";-54;74
"Itajaí";"Q";38;29
"Itajaí";"R";4;7
"Itajaí";"S";-74;21
"Itapema";"C";3;20
"Itapema";"E";5;-2
"Itapema";"F";-200;238
"Itapema";"G";266;-104
"Itapema";"H";28;47
"Itapema";"I";206;-34
"Itapema";"J";6;4
"Itapema";"K";4;8
"Itapema";"L";9;-3
"Itapema";"M";-4;18
"Itapema";"N";102;106
"Itapema";"P";-13;41
"Itapema";"Q";12;7
"Itapema";"R";0;7
"Itapema";"S";4;10
"Itapiranga";"A";0;-1
"Itapiranga";"C";-17;63
"Itapiranga";"E";5;NA
"Itapiranga";"F";-6;2
"Itapiranga";"G";4;10
"Itapiranga";"H";4;-5
"Itapiranga";"I";-1;-4
"Itapiranga";"J";-1;0
"Itapiranga";"K";4;-1
"Itapiranga";"M";-1;4
"Itapiranga";"N";-10;2
"Itapiranga";"O";-1;NA
"Itapiranga";"P";2;33
"Itapiranga";"Q";0;0
"Itapiranga";"S";-6;-1
"Itapoá";"A";-1;2
"Itapoá";"C";11;11
"Itapoá";"E";0;0
"Itapoá";"F";6;14
"Itapoá";"G";32;-33
"Itapoá";"H";41;15
"Itapoá";"I";52;-7
"Itapoá";"J";2;4
"Itapoá";"K";-1;2
"Itapoá";"L";1;1
"Itapoá";"M";2;2
"Itapoá";"N";14;6
"Itapoá";"P";-3;7
"Itapoá";"Q";-2;2
"Itapoá";"R";-1;2
"Itapoá";"S";1;-1
"Ituporanga";"A";-8;-16
"Ituporanga";"C";-80;57
"Ituporanga";"F";-12;4
"Ituporanga";"G";54;31
"Ituporanga";"H";-18;-9
"Ituporanga";"I";5;5
"Ituporanga";"J";0;3
"Ituporanga";"K";-2;NA
"Ituporanga";"M";-2;-2
"Ituporanga";"N";0;0
"Ituporanga";"P";-6;10
"Ituporanga";"Q";-1;5
"Ituporanga";"R";0;2
"Ituporanga";"S";-1;-3
"Jaborá";"A";-1;1
"Jaborá";"C";-8;-2
"Jaborá";"F";2;-3
"Jaborá";"G";NA;-2
"Jaborá";"H";-1;0
"Jaborá";"I";1;1
"Jaborá";"K";-1;0
"Jaborá";"M";NA;-2
"Jacinto Machado";"C";-6;33
"Jacinto Machado";"F";4;0
"Jacinto Machado";"G";1;2
"Jacinto Machado";"H";2;4
"Jacinto Machado";"J";-1;2
"Jacinto Machado";"K";-1;2
"Jacinto Machado";"L";NA;1
"Jacinto Machado";"M";-2;-1
"Jacinto Machado";"N";-2;NA
"Jacinto Machado";"P";-1;NA
"Jacinto Machado";"Q";1;1
"Jacinto Machado";"S";NA;0
"Jaguaruna";"A";1;NA
"Jaguaruna";"B";1;NA
"Jaguaruna";"C";-18;37
"Jaguaruna";"E";6;-1
"Jaguaruna";"F";0;4
"Jaguaruna";"G";38;-18
"Jaguaruna";"H";4;5
"Jaguaruna";"I";3;5
"Jaguaruna";"J";4;-1
"Jaguaruna";"K";NA;-1
"Jaguaruna";"M";18;3
"Jaguaruna";"N";-7;12
"Jaguaruna";"P";1;2
"Jaguaruna";"Q";331;71
"Jaguaruna";"R";NA;1
"Jaguaruna";"S";2;5
"Jaraguá do Sul";"A";NA;-1
"Jaraguá do Sul";"B";NA;-3
"Jaraguá do Sul";"C";-829;784
"Jaraguá do Sul";"D";NA;1
"Jaraguá do Sul";"E";14;1
"Jaraguá do Sul";"F";-53;74
"Jaraguá do Sul";"G";42;8
"Jaraguá do Sul";"H";-18;-16
"Jaraguá do Sul";"I";4;28
"Jaraguá do Sul";"J";-8;17
"Jaraguá do Sul";"K";0;5
"Jaraguá do Sul";"L";-4;-4
"Jaraguá do Sul";"M";-28;21
"Jaraguá do Sul";"N";-3;63
"Jaraguá do Sul";"O";-205;289
"Jaraguá do Sul";"P";-48;72
"Jaraguá do Sul";"Q";57;26
"Jaraguá do Sul";"R";2;15
"Jaraguá do Sul";"S";-12;3
"Jaraguá do Sul";"T";-1;1
"Jardinópolis";"C";4;-1
"Jardinópolis";"F";-1;NA
"Jardinópolis";"G";NA;-1
"Jardinópolis";"J";1;NA
"Joaçaba";"A";0;-4
"Joaçaba";"C";-35;130
"Joaçaba";"D";NA;4
"Joaçaba";"E";-2;-2
"Joaçaba";"F";-19;21
"Joaçaba";"G";61;-34
"Joaçaba";"H";18;1
"Joaçaba";"I";3;2
"Joaçaba";"J";7;11
"Joaçaba";"K";0;7
"Joaçaba";"L";NA;1
"Joaçaba";"M";-3;12
"Joaçaba";"N";13;8
"Joaçaba";"P";-46;31
"Joaçaba";"Q";-8;20
"Joaçaba";"R";-4;0
"Joaçaba";"S";-14;12
"Joinville";"A";0;3
"Joinville";"B";3;3
"Joinville";"C";315;991
"Joinville";"D";-1;7
"Joinville";"E";-51;-3
"Joinville";"F";-131;346
"Joinville";"G";-86;370
"Joinville";"H";73;51
"Joinville";"I";38;101
"Joinville";"J";-3;60
"Joinville";"K";2;14
"Joinville";"L";-8;7
"Joinville";"M";0;52
"Joinville";"N";-1031;604
"Joinville";"P";-212;259
"Joinville";"Q";31;83
"Joinville";"R";7;28
"Joinville";"S";-9;5
"José Boiteux";"C";-25;21
"José Boiteux";"G";-2;-2
"José Boiteux";"H";NA;-1
"José Boiteux";"N";6;8
"José Boiteux";"Q";NA;1
"Jupiá";"C";3;0
"Jupiá";"G";0;1
"Jupiá";"H";1;-1
"Jupiá";"N";-1;3
"Lacerdópolis";"A";3;1
"Lacerdópolis";"C";4;6
"Lacerdópolis";"F";4;17
"Lacerdópolis";"G";-1;-1
"Lacerdópolis";"H";0;2
"Lages";"A";4;106
"Lages";"B";-3;NA
"Lages";"C";-168;196
"Lages";"D";0;0
"Lages";"E";-12;-2
"Lages";"F";-40;55
"Lages";"G";97;30
"Lages";"H";29;-13
"Lages";"I";-9;23
"Lages";"J";-1;-15
"Lages";"K";-4;-2
"Lages";"L";-2;4
"Lages";"M";7;20
"Lages";"N";39;-152
"Lages";"P";-31;79
"Lages";"Q";43;1
"Lages";"R";-12;5
"Lages";"S";-7;11
"Laguna";"A";-8;1
"Laguna";"C";-22;34
"Laguna";"E";NA;1
"Laguna";"F";-1;-2
"Laguna";"G";79;-80
"Laguna";"H";-8;10
"Laguna";"I";42;-1
"Laguna";"J";0;-1
"Laguna";"K";-2;-1
"Laguna";"L";6;0
"Laguna";"M";-2;-1
"Laguna";"N";-6;8
"Laguna";"P";-4;4
"Laguna";"Q";-1;3
"Laguna";"S";3;1
"Lajeado Grande";"C";-1;-4
"Lajeado Grande";"G";-2;-1
"Lajeado Grande";"H";-2;NA
"Laurentino";"A";2;1
"Laurentino";"C";-21;26
"Laurentino";"F";-2;0
"Laurentino";"G";-2;11
"Laurentino";"H";0;8
"Laurentino";"I";-1;NA
"Laurentino";"M";-1;4
"Laurentino";"Q";NA;1
"Laurentino";"S";NA;6
"Lauro Muller";"A";-2;6
"Lauro Muller";"B";-2;-4
"Lauro Muller";"C";3;8
"Lauro Muller";"D";NA;1
"Lauro Muller";"F";-3;4
"Lauro Muller";"G";4;6
"Lauro Muller";"H";-9;4
"Lauro Muller";"I";2;0
"Lauro Muller";"J";NA;-1
"Lauro Muller";"M";0;-3
"Lauro Muller";"N";1;0
"Lauro Muller";"Q";NA;1
"Lauro Muller";"R";1;NA
"Lauro Muller";"S";-1;0
"Lebon Régis";"A";-18;-47
"Lebon Régis";"C";-5;22
"Lebon Régis";"D";-1;NA
"Lebon Régis";"F";-1;6
"Lebon Régis";"G";-2;7
"Lebon Régis";"H";NA;-1
"Lebon Régis";"I";-1;2
"Lebon Régis";"J";NA;-2
"Lebon Régis";"M";-1;2
"Lebon Régis";"N";1;NA
"Lebon Régis";"S";NA;2
"Leoberto Leal";"A";NA;1
"Leoberto Leal";"F";-1;NA
"Leoberto Leal";"G";4;9
"Leoberto Leal";"H";2;3
"Leoberto Leal";"I";NA;-1
"Leoberto Leal";"M";NA;0
"Leoberto Leal";"S";NA;-1
"Lindóia do Sul";"C";1;2
