Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018)
Iporã do Oeste,R$ 254541000,28456.2325321409,8945
Ipuaçu,R$ 223186000,29965.8968850698,7448
Ipumirim,R$ 332211000,43914.2101784534,7565
Iraceminha,R$ 98133000,24441.5940224159,4015
Irani,R$ 238410000,23059.2900667376,10339
Irati,R$ 37201000,19057.8893442623,1952
Irineópolis,R$ 347397000,31142.7162707306,11155
Itá,R$ 265046000,42687.389273635,6209
Itaiópolis,R$ 749484000,34769.1593987753,21556
Itajaí,R$ 25413432000,117711.998888349,215895
Itapema,R$ 1872017000,29597.1067193676,63250
Itapiranga,R$ 773554000,46220.9608030593,16736
Itapoá,R$ 793233000,39735.1600460853,19963
Ituporanga,R$ 933730000,37632.1940996292,24812
Jaborá,R$ 126922000,32091.5297092288,3955
Jacinto Machado,R$ 331496000,31700.8702304676,10457
Jaguaruna,R$ 469914000,23787.0918754746,19755
Jaraguá do Sul,R$ 8995686000,51652.4420353931,174158
Jardinópolis,R$ 39803000,24954.8589341693,1595
Joaçaba,R$ 1929064000,64675.0930365105,29827
Joinville,R$ 30785682000,52792.5898234398,583144
José Boiteux,R$ 102234000,20508.3249749248,4985
Jupiá,R$ 56788000,26913.7440758294,2110
Lacerdópolis,R$ 92184000,41061.9153674833,2245
Lages,R$ 5103843000,32355.4325707004,157743
Laguna,R$ 900499000,19791.1868131868,45500
Lajeado Grande,R$ 41355000,28778.7056367432,1437
Laurentino,R$ 267676000,38934.6909090909,6875
Lauro Muller,R$ 373987000,24646.5664953209,15174
Lebon Régis,R$ 246849000,20402.4299528887,12099
Leoberto Leal,R$ 93972000,30480.7006162828,3083
Lindóia do Sul,R$ 107264000,23420.0873362445,4580
Lontras,R$ 322170000,26977.8931502261,11942
Luiz Alves,R$ 581065000,46083.353160441,12609
Luzerna,R$ 170822000,30042.5606753429,5686
Macieira,R$ 48701000,27298.7668161435,1784
Mafra,R$ 1960223000,34993.3591588268,56017
Major Gercino,R$ 49334000,14383.0903790087,3430
Major Vieira,R$ 210905000,26205.8896620278,8048
Maracajá,R$ 197366000,27385.3198279451,7207
