municipio,vice_presidencia
Ponte Alta,Serra Catarinense
Ponte Alta do Norte,Centro-Norte
Ponte Serrada,Oeste
Porto Belo,Foz do Rio Itajaí
Porto União,Centro-Norte
Pouso Redondo,Alto Vale do Itajaí
Praia Grande,Sul
Presidente Castello Branco,Alto Uruguai Catarinense
Presidente Getúlio,Alto Vale do Itajaí
Presidente Nereu,Vale do Itajaí Mirim
Princesa,Extremo Oeste
Quilombo,Oeste
Rancho Queimado,Sudeste
Rio das Antas,Centro-Norte
Rio do Campo,Alto Vale do Itajaí
Rio do Oeste,Alto Vale do Itajaí
Rio do Sul,Alto Vale do Itajaí
Rio dos Cedros,Vale do Itajaí
Rio Fortuna,Litoral Sul
Rio Negrinho,Planalto Norte
Rio Rufino,Serra Catarinense
Riqueza,Oeste
Rodeio,Vale do Itajaí
Romelândia,Oeste
Salete,Alto Vale do Itajaí
Saltinho,Oeste
Salto Veloso,Centro-Norte
Sangão,Litoral Sul
Santa Cecília,Centro-Norte
Santa Helena,Extremo Oeste
Santa Rosa de Lima,Litoral Sul
Santa Rosa do Sul,Sul
Santa Terezinha,Alto Vale do Itajaí
Santa Terezinha do Progresso,Oeste
Santiago do Sul,Oeste
Santo Amaro da Imperatriz,Sudeste
São Bento do Sul,Planalto Norte
São Bernardino,Oeste
São Bonifácio,Sudeste
São Carlos,Oeste
São Cristovão do Sul,Centro-Norte
São Domingos,Oeste
São Francisco do Sul,Norte-Nordeste
São João Batista,Sudeste
São João do Itaperiú,Vale do Itapocu
São João do Oeste,Extremo Oeste
São João do Sul,Sul
São Joaquim,Serra Catarinense
São José,Sudeste
São José do Cedro,Extremo Oeste
São José do Cerrito,Serra Catarinense
São Lourenço do Oeste,Oeste
São Ludgero,Litoral Sul
São Martinho,Litoral Sul
São Miguel da Boa Vista,Oeste
São Miguel do Oeste,Extremo Oeste
São Pedro de Alcântara,Sudeste
Saudades,Oeste
Schroeder,Vale do Itapocu
Seara,Alto Uruguai Catarinense
Serra Alta,Oeste
Siderópolis,Sul
Sombrio,Sul
Sul Brasil,Oeste
Taió,Alto Vale do Itajaí
Tangará,Centro-Oeste
Tigrinhos,Oeste
Tijucas,Sudeste
Timbé do Sul,Sul
Timbó,Vale do Itajaí
Timbó Grande,Centro-Norte
Três Barras,Centro-Norte
Treviso,Sul
Treze de Maio,Litoral Sul
Treze Tílias,Centro-Oeste
Trombudo Central,Alto Vale do Itajaí
Tubarão,Litoral Sul
Tunápolis,Extremo Oeste
Turvo,Sul
União do Oeste,Oeste
Urubici,Serra Catarinense
Urupema,Serra Catarinense
Urussanga,Sul
Vargeão,Oeste
Vargem,Centro-Oeste
Vargem Bonita,Centro-Oeste
Vidal Ramos,Vale do Itajaí Mirim
Videira,Centro-Norte
Vitor Meireles,Alto Vale do Itajaí
Witmarsum,Alto Vale do Itajaí
Xanxerê,Oeste
Xavantina,Alto Uruguai Catarinense
Xaxim,Oeste
Zortéa,Centro-Oeste
