,Município,IDHM,IDHM_E,IDHM_L,IDHM_R;;;;;,vice_presidencia
80,Dionísio Cerqueira,0.706,0.61,0.82,0.703;;;;;,Extremo Oeste
81,Dona Emma,0.742,0.622,0.862,0.762;;;;;,Alto Vale do Itajaí
82,Doutor Pedrinho,0.716,0.609,0.843,0.714;;;;;,Vale do Itajaí
83,Entre Rios,0.657,0.55,0.808,0.638;;;;;,Oeste
84,Ermo,0.726,0.67,0.808,0.708;;;;;,Sul
85,Erval Velho,0.723,0.592,0.868,0.736;;;;;,Centro-Oeste
86,Faxinal dos Guedes,0.758,0.676,0.863,0.746;;;;;,Oeste
87,Flor do Sertão,0.708,0.608,0.792,0.736;;;;;,Oeste
88,Florianópolis,0.847,0.8,0.873,0.87;;;;;,Sudeste
89,Formosa do Sul,0.715,0.593,0.845,0.728;;;;;,Oeste
90,Forquilhinha,0.753,0.657,0.861,0.754;;;;;,Sul
91,Fraiburgo,0.731,0.637,0.86,0.712;;;;;,Centro-Norte
92,Frei Rogério,0.682,0.588,0.812,0.664;;;;;,Centro-Norte
93,Galvão,0.708,0.618,0.815,0.704;;;;;,Oeste
94,Garopaba,0.753,0.668,0.868,0.737;;;;;,Sudeste
95,Garuva,0.725,0.64,0.83,0.717;;;;;,Norte-Nordeste
96,Gaspar,0.765,0.655,0.889,0.77;;;;;,Vale do Itajaí
97,Governador Celso Ramos,0.747,0.651,0.87,0.737;;;;;,Sudeste
98,Grão Pará,0.736,0.63,0.846,0.749;;;;;,Litoral Sul
99,Gravatal,0.757,0.681,0.877,0.726;;;;;,Litoral Sul
100,Guabiruba,0.754,0.653,0.876,0.75;;;;;,Vale do Itajaí Mirim
101,Guaraciaba,0.751,0.646,0.871,0.754;;;;;,Extremo Oeste
102,Guaramirim,0.751,0.641,0.885,0.748;;;;;,Vale do Itapocu
103,Guarujá do Sul,0.73,0.639,0.833,0.732;;;;;,Extremo Oeste
104,Guatambú,0.717,0.626,0.823,0.716;;;;;,Oeste
105,Herval D'Oeste,0.758,0.684,0.859,0.74;;;;;,
106,Ibiam,0.725,0.631,0.82,0.737;;;;;,Centro-Oeste
107,Ibicaré,0.708,0.586,0.826,0.734;;;;;,Centro-Oeste
108,Ibirama,0.737,0.63,0.848,0.749;;;;;,Alto Vale do Itajaí
109,Içara,0.741,0.645,0.861,0.732;;;;;,Sul
110,Ilhota,0.738,0.607,0.883,0.75;;;;;,Foz do Rio Itajaí
111,Imaruí,0.667,0.53,0.834,0.67;;;;;,Litoral Sul
112,Imbituba,0.765,0.703,0.868,0.734;;;;;,Litoral Sul
113,Imbuia,0.713,0.602,0.84,0.716;;;;;,Vale do Itajaí Mirim
114,Indaial,0.777,0.701,0.873,0.767;;;;;,Vale do Itajaí
115,Iomerê,0.795,0.749,0.891,0.754;;;;;,Centro-Norte
116,Ipira,0.736,0.657,0.838,0.724;;;;;,Alto Uruguai Catarinense
117,Iporã do Oeste,0.759,0.695,0.847,0.743;;;;;,Extremo Oeste
118,Ipuaçu,0.66,0.54,0.79,0.674;;;;;,Oeste
119,Ipumirim,0.738,0.631,0.853,0.747;;;;;,Alto Uruguai Catarinense
120,Iraceminha,0.722,0.628,0.845,0.71;;;;;,Oeste
121,Irani,0.742,0.675,0.847,0.715;;;;;,Alto Uruguai Catarinense
122,Irati,0.707,0.609,0.836,0.694;;;;;,Oeste
123,Irineópolis,0.699,0.567,0.836,0.72;;;;;,Centro-Norte
124,Itá,0.771,0.698,0.879,0.747;;;;;,Alto Uruguai Catarinense
125,Itaiópolis,0.708,0.606,0.836,0.7;;;;;,Planalto Norte
126,Itajaí,0.795,0.73,0.884,0.778;;;;;,Foz do Rio Itajaí
127,Itapema,0.796,0.727,0.881,0.788;;;;;,Foz do Rio Itajaí
128,Itapiranga,0.775,0.723,0.842,0.766;;;;;,Extremo Oeste
129,Itapoá,0.761,0.682,0.874,0.739;;;;;,Norte-Nordeste
130,Ituporanga,0.748,0.638,0.876,0.749;;;;;,Alto Vale do Itajaí
131,Jaborá,0.732,0.657,0.801,0.746;;;;;,Alto Uruguai Catarinense
132,Jacinto Machado,0.716,0.633,0.818,0.708;;;;;,Sul
133,Jaguaruna,0.721,0.628,0.83,0.719;;;;;,Litoral Sul
134,Jaraguá do Sul,0.803,0.755,0.865,0.793;;;;;,Vale do Itapocu
135,Jardinópolis,0.709,0.611,0.823,0.708;;;;;,Oeste
136,Joaçaba,0.827,0.771,0.891,0.823;;;;;,Centro-Oeste
137,Joinville,0.809,0.749,0.889,0.795;;;;;,Norte-Nordeste
138,José Boiteux,0.694,0.578,0.841,0.689;;;;;,Alto Vale do Itajaí
