,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
114,Angelina,C,-2.0,2.0,Sudeste
115,Angelina,E,-1.0,2.0,Sudeste
116,Angelina,F,-1.0,11.0,Sudeste
117,Angelina,G,1.0,0.0,Sudeste
118,Angelina,I,-7.0,-2.0,Sudeste
119,Angelina,K,,-1.0,Sudeste
120,Angelina,N,,0.0,Sudeste
121,Angelina,P,1.0,3.0,Sudeste
122,Angelina,Q,0.0,1.0,Sudeste
123,Angelina,S,0.0,-1.0,Sudeste
124,Anita Garibaldi,C,-9.0,46.0,Serra Catarinense
125,Anita Garibaldi,F,-1.0,6.0,Serra Catarinense
126,Anita Garibaldi,G,-3.0,7.0,Serra Catarinense
127,Anita Garibaldi,H,0.0,0.0,Serra Catarinense
128,Anita Garibaldi,I,2.0,,Serra Catarinense
129,Anita Garibaldi,J,1.0,,Serra Catarinense
130,Anita Garibaldi,M,-1.0,,Serra Catarinense
131,Anita Garibaldi,N,-1.0,1.0,Serra Catarinense
132,Anita Garibaldi,P,,2.0,Serra Catarinense
133,Anita Garibaldi,Q,,1.0,Serra Catarinense
134,Anita Garibaldi,S,,1.0,Serra Catarinense
135,Anitápolis,A,-2.0,1.0,Sudeste
136,Anitápolis,C,0.0,-1.0,Sudeste
137,Anitápolis,G,0.0,4.0,Sudeste
138,Anitápolis,H,,-1.0,Sudeste
139,Anitápolis,I,1.0,,Sudeste
140,Anitápolis,Q,0.0,2.0,Sudeste
141,Anitápolis,S,-1.0,2.0,Sudeste
142,Antônio Carlos,A,-1.0,3.0,Sudeste
143,Antônio Carlos,B,1.0,1.0,Sudeste
144,Antônio Carlos,C,9.0,22.0,Sudeste
145,Antônio Carlos,F,-3.0,3.0,Sudeste
146,Antônio Carlos,G,5.0,-1.0,Sudeste
147,Antônio Carlos,H,3.0,3.0,Sudeste
148,Antônio Carlos,I,5.0,2.0,Sudeste
149,Antônio Carlos,J,,1.0,Sudeste
150,Antônio Carlos,M,1.0,-1.0,Sudeste
151,Antônio Carlos,N,-2.0,1.0,Sudeste
152,Antônio Carlos,Q,2.0,1.0,Sudeste
153,Antônio Carlos,R,0.0,,Sudeste
154,Antônio Carlos,S,1.0,3.0,Sudeste
155,Apiúna,A,,-1.0,Vale do Itajaí
156,Apiúna,C,-66.0,70.0,Vale do Itajaí
157,Apiúna,D,,-1.0,Vale do Itajaí
158,Apiúna,F,0.0,2.0,Vale do Itajaí
159,Apiúna,G,-1.0,9.0,Vale do Itajaí
160,Apiúna,H,1.0,1.0,Vale do Itajaí
161,Apiúna,I,-1.0,6.0,Vale do Itajaí
162,Apiúna,K,1.0,3.0,Vale do Itajaí
163,Apiúna,M,-2.0,0.0,Vale do Itajaí
164,Apiúna,N,-1.0,-1.0,Vale do Itajaí
165,Apiúna,O,-1.0,1.0,Vale do Itajaí
166,Apiúna,P,-1.0,,Vale do Itajaí
167,Apiúna,Q,,-1.0,Vale do Itajaí
168,Apiúna,S,-1.0,1.0,Vale do Itajaí
169,Arabutã,A,,2.0,Alto Uruguai Catarinense
170,Arabutã,C,-1.0,1.0,Alto Uruguai Catarinense
171,Arabutã,F,1.0,-1.0,Alto Uruguai Catarinense
172,Arabutã,G,-3.0,-1.0,Alto Uruguai Catarinense
173,Arabutã,H,0.0,2.0,Alto Uruguai Catarinense
174,Arabutã,I,,0.0,Alto Uruguai Catarinense
175,Arabutã,N,-1.0,,Alto Uruguai Catarinense
