,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
487,Botuverá,G,-3.0,0.0,Vale do Itajaí Mirim
488,Botuverá,H,-1.0,0.0,Vale do Itajaí Mirim
489,Botuverá,I,-1.0,-1.0,Vale do Itajaí Mirim
490,Botuverá,K,,1.0,Vale do Itajaí Mirim
491,Botuverá,M,,0.0,Vale do Itajaí Mirim
492,Botuverá,N,0.0,1.0,Vale do Itajaí Mirim
493,Botuverá,O,-77.0,21.0,Vale do Itajaí Mirim
494,Botuverá,S,,-1.0,Vale do Itajaí Mirim
495,Braço do Norte,C,-63.0,90.0,Litoral Sul
496,Braço do Norte,D,-2.0,0.0,Litoral Sul
497,Braço do Norte,E,-2.0,-3.0,Litoral Sul
498,Braço do Norte,F,-10.0,4.0,Litoral Sul
499,Braço do Norte,G,-17.0,51.0,Litoral Sul
500,Braço do Norte,H,-8.0,2.0,Litoral Sul
501,Braço do Norte,I,-4.0,2.0,Litoral Sul
502,Braço do Norte,J,1.0,-6.0,Litoral Sul
503,Braço do Norte,K,1.0,4.0,Litoral Sul
504,Braço do Norte,L,,-2.0,Litoral Sul
505,Braço do Norte,M,-5.0,9.0,Litoral Sul
506,Braço do Norte,N,52.0,-18.0,Litoral Sul
507,Braço do Norte,O,-64.0,72.0,Litoral Sul
508,Braço do Norte,P,-6.0,55.0,Litoral Sul
509,Braço do Norte,Q,-10.0,4.0,Litoral Sul
510,Braço do Norte,R,1.0,4.0,Litoral Sul
511,Braço do Norte,S,20.0,0.0,Litoral Sul
512,Braço do Trombudo,C,-6.0,28.0,Alto Vale do Itajaí
513,Braço do Trombudo,F,,-9.0,Alto Vale do Itajaí
514,Braço do Trombudo,G,-3.0,1.0,Alto Vale do Itajaí
515,Braço do Trombudo,H,-1.0,-1.0,Alto Vale do Itajaí
516,Braço do Trombudo,I,1.0,,Alto Vale do Itajaí
517,Braço do Trombudo,K,,-1.0,Alto Vale do Itajaí
518,Braço do Trombudo,M,-1.0,-1.0,Alto Vale do Itajaí
519,Braço do Trombudo,Q,0.0,4.0,Alto Vale do Itajaí
520,Braço do Trombudo,S,1.0,,Alto Vale do Itajaí
521,Brunópolis,A,-2.0,2.0,Centro-Oeste
522,Brunópolis,C,-4.0,-6.0,Centro-Oeste
523,Brunópolis,G,-2.0,3.0,Centro-Oeste
524,Brunópolis,N,,1.0,Centro-Oeste
525,Brusque,A,-1.0,,Vale do Itajaí Mirim
526,Brusque,B,1.0,0.0,Vale do Itajaí Mirim
527,Brusque,C,-754.0,497.0,Vale do Itajaí Mirim
528,Brusque,E,-11.0,11.0,Vale do Itajaí Mirim
529,Brusque,F,-106.0,-36.0,Vale do Itajaí Mirim
530,Brusque,G,72.0,45.0,Vale do Itajaí Mirim
531,Brusque,H,-8.0,19.0,Vale do Itajaí Mirim
532,Brusque,I,-16.0,21.0,Vale do Itajaí Mirim
533,Brusque,J,-8.0,7.0,Vale do Itajaí Mirim
534,Brusque,K,-3.0,4.0,Vale do Itajaí Mirim
535,Brusque,L,-4.0,4.0,Vale do Itajaí Mirim
536,Brusque,M,-13.0,27.0,Vale do Itajaí Mirim
537,Brusque,N,5.0,32.0,Vale do Itajaí Mirim
538,Brusque,O,1.0,40.0,Vale do Itajaí Mirim
539,Brusque,P,-22.0,71.0,Vale do Itajaí Mirim
540,Brusque,Q,13.0,33.0,Vale do Itajaí Mirim
541,Brusque,R,-2.0,17.0,Vale do Itajaí Mirim
542,Brusque,S,-3.0,43.0,Vale do Itajaí Mirim
543,Caçador,A,34.0,25.0,Centro-Norte
544,Caçador,B,-1.0,1.0,Centro-Norte
545,Caçador,C,-332.0,207.0,Centro-Norte
546,Caçador,E,1.0,3.0,Centro-Norte
547,Caçador,F,-11.0,-4.0,Centro-Norte
548,Caçador,G,4.0,-47.0,Centro-Norte
549,Caçador,H,4.0,-15.0,Centro-Norte
550,Caçador,I,11.0,9.0,Centro-Norte
551,Caçador,J,-5.0,1.0,Centro-Norte
552,Caçador,K,3.0,-1.0,Centro-Norte
553,Caçador,L,-1.0,0.0,Centro-Norte
554,Caçador,M,5.0,2.0,Centro-Norte
555,Caçador,N,-4.0,8.0,Centro-Norte
556,Caçador,P,-7.0,39.0,Centro-Norte
557,Caçador,Q,-2.0,12.0,Centro-Norte
558,Caçador,R,-1.0,15.0,Centro-Norte
559,Caçador,S,-10.0,32.0,Centro-Norte
560,Caibi,A,3.0,-1.0,Oeste
561,Caibi,C,-16.0,13.0,Oeste
562,Caibi,F,-2.0,0.0,Oeste
563,Caibi,G,-6.0,7.0,Oeste
564,Caibi,H,10.0,10.0,Oeste
565,Caibi,I,,0.0,Oeste
566,Caibi,J,-1.0,,Oeste
567,Caibi,K,0.0,1.0,Oeste
568,Caibi,L,,-1.0,Oeste
569,Caibi,N,1.0,,Oeste
570,Caibi,P,,0.0,Oeste
571,Caibi,Q,-1.0,-1.0,Oeste
572,Caibi,S,-4.0,1.0,Oeste
573,Calmon,A,1.0,0.0,Centro-Norte
574,Calmon,C,1.0,2.0,Centro-Norte
575,Calmon,F,-2.0,-3.0,Centro-Norte
576,Calmon,G,-2.0,-1.0,Centro-Norte
577,Calmon,H,0.0,,Centro-Norte
578,Calmon,I,-1.0,-1.0,Centro-Norte
579,Calmon,J,1.0,,Centro-Norte
580,Camboriú,A,,0.0,Foz do Rio Itajaí
581,Camboriú,B,-1.0,2.0,Foz do Rio Itajaí
582,Camboriú,C,-2.0,57.0,Foz do Rio Itajaí
583,Camboriú,E,9.0,0.0,Foz do Rio Itajaí
584,Camboriú,F,-49.0,70.0,Foz do Rio Itajaí
585,Camboriú,G,21.0,42.0,Foz do Rio Itajaí
586,Camboriú,H,11.0,-8.0,Foz do Rio Itajaí
587,Camboriú,I,10.0,19.0,Foz do Rio Itajaí
588,Camboriú,J,2.0,0.0,Foz do Rio Itajaí
589,Camboriú,K,1.0,-2.0,Foz do Rio Itajaí
590,Camboriú,L,-1.0,-3.0,Foz do Rio Itajaí
591,Camboriú,M,-1.0,9.0,Foz do Rio Itajaí
592,Camboriú,N,56.0,18.0,Foz do Rio Itajaí
593,Camboriú,P,-6.0,35.0,Foz do Rio Itajaí
594,Camboriú,Q,-1.0,5.0,Foz do Rio Itajaí
595,Camboriú,R,-7.0,7.0,Foz do Rio Itajaí
596,Camboriú,S,1.0,6.0,Foz do Rio Itajaí
597,Camboriú,T,1.0,,Foz do Rio Itajaí
598,Campo Alegre,A,,-1.0,Planalto Norte
599,Campo Alegre,B,-1.0,-1.0,Planalto Norte
600,Campo Alegre,C,59.0,205.0,Planalto Norte
601,Campo Alegre,E,,1.0,Planalto Norte
602,Campo Alegre,F,-1.0,2.0,Planalto Norte
603,Campo Alegre,G,6.0,3.0,Planalto Norte
604,Campo Alegre,H,2.0,-2.0,Planalto Norte
605,Campo Alegre,I,4.0,7.0,Planalto Norte
606,Campo Alegre,L,,1.0,Planalto Norte
607,Campo Alegre,M,-4.0,,Planalto Norte
608,Campo Alegre,N,1.0,,Planalto Norte
609,Campo Alegre,P,,1.0,Planalto Norte
610,Campo Alegre,Q,0.0,-1.0,Planalto Norte
611,Campo Alegre,S,-1.0,1.0,Planalto Norte
612,Campo Belo do Sul,A,-7.0,3.0,Serra Catarinense
613,Campo Belo do Sul,C,-6.0,1.0,Serra Catarinense
614,Campo Belo do Sul,F,,-1.0,Serra Catarinense
615,Campo Belo do Sul,G,-3.0,2.0,Serra Catarinense
616,Campo Belo do Sul,H,,1.0,Serra Catarinense
617,Campo Belo do Sul,I,1.0,2.0,Serra Catarinense
618,Campo Belo do Sul,K,,-1.0,Serra Catarinense
619,Campo Belo do Sul,Q,,0.0,Serra Catarinense
620,Campo Belo do Sul,R,,1.0,Serra Catarinense
621,Campo Belo do Sul,S,1.0,1.0,Serra Catarinense
622,Campo Erê,A,-2.0,4.0,Oeste
623,Campo Erê,C,-27.0,25.0,Oeste
624,Campo Erê,F,-3.0,-3.0,Oeste
625,Campo Erê,G,-2.0,2.0,Oeste
626,Campo Erê,H,-2.0,-4.0,Oeste
627,Campo Erê,I,-1.0,1.0,Oeste
628,Campo Erê,J,-1.0,0.0,Oeste
629,Campo Erê,K,-1.0,,Oeste
630,Campo Erê,M,,0.0,Oeste
631,Campo Erê,N,1.0,-2.0,Oeste
632,Campo Erê,P,-2.0,,Oeste
633,Campo Erê,Q,-3.0,1.0,Oeste
634,Campo Erê,S,-1.0,1.0,Oeste
635,Campos Novos,A,-10.0,-2.0,Centro-Oeste
636,Campos Novos,B,1.0,,Centro-Oeste
637,Campos Novos,C,-66.0,59.0,Centro-Oeste
638,Campos Novos,D,,4.0,Centro-Oeste
639,Campos Novos,E,,2.0,Centro-Oeste
640,Campos Novos,F,1.0,-7.0,Centro-Oeste
641,Campos Novos,G,-13.0,19.0,Centro-Oeste
642,Campos Novos,H,7.0,4.0,Centro-Oeste
643,Campos Novos,I,-5.0,5.0,Centro-Oeste
644,Campos Novos,J,,1.0,Centro-Oeste
645,Campos Novos,K,-1.0,-1.0,Centro-Oeste
646,Campos Novos,M,-6.0,8.0,Centro-Oeste
647,Campos Novos,N,5.0,-1.0,Centro-Oeste
648,Campos Novos,P,-2.0,10.0,Centro-Oeste
649,Campos Novos,Q,4.0,-3.0,Centro-Oeste
650,Campos Novos,R,-1.0,0.0,Centro-Oeste
651,Campos Novos,S,-42.0,43.0,Centro-Oeste
652,Canelinha,B,0.0,0.0,Sudeste
653,Canelinha,C,-47.0,50.0,Sudeste
654,Canelinha,F,-1.0,1.0,Sudeste
655,Canelinha,G,-1.0,6.0,Sudeste
656,Canelinha,H,2.0,1.0,Sudeste
657,Canelinha,I,-1.0,1.0,Sudeste
658,Canelinha,J,1.0,0.0,Sudeste
659,Canelinha,L,,1.0,Sudeste
660,Canelinha,N,0.0,,Sudeste
661,Canelinha,O,-86.0,88.0,Sudeste
662,Canelinha,P,-8.0,4.0,Sudeste
663,Canelinha,Q,0.0,2.0,Sudeste
664,Canelinha,S,,1.0,Sudeste
665,Canoinhas,A,-6.0,18.0,Centro-Norte
666,Canoinhas,B,-2.0,-1.0,Centro-Norte
667,Canoinhas,C,-30.0,104.0,Centro-Norte
668,Canoinhas,E,0.0,5.0,Centro-Norte
669,Canoinhas,F,11.0,54.0,Centro-Norte
670,Canoinhas,G,9.0,19.0,Centro-Norte
671,Canoinhas,H,3.0,-2.0,Centro-Norte
672,Canoinhas,I,-1.0,18.0,Centro-Norte
673,Canoinhas,J,2.0,-1.0,Centro-Norte
674,Canoinhas,K,5.0,1.0,Centro-Norte
675,Canoinhas,L,-1.0,0.0,Centro-Norte
676,Canoinhas,M,-6.0,-3.0,Centro-Norte
677,Canoinhas,N,-8.0,10.0,Centro-Norte
678,Canoinhas,O,,-2.0,Centro-Norte
679,Canoinhas,P,-25.0,32.0,Centro-Norte
680,Canoinhas,Q,4.0,0.0,Centro-Norte
681,Canoinhas,R,,-1.0,Centro-Norte
682,Canoinhas,S,-1.0,7.0,Centro-Norte
683,Canoinhas,T,2.0,-1.0,Centro-Norte
684,Capão Alto,A,1.0,,Serra Catarinense
685,Capão Alto,B,1.0,-3.0,Serra Catarinense
686,Capão Alto,C,0.0,3.0,Serra Catarinense
687,Capão Alto,F,1.0,2.0,Serra Catarinense
688,Capão Alto,G,-1.0,0.0,Serra Catarinense
689,Capão Alto,H,-1.0,5.0,Serra Catarinense
690,Capão Alto,I,1.0,4.0,Serra Catarinense
691,Capinzal,A,-2.0,4.0,Centro-Oeste
692,Capinzal,C,-11.0,105.0,Centro-Oeste
693,Capinzal,F,-10.0,-4.0,Centro-Oeste
694,Capinzal,G,-14.0,-3.0,Centro-Oeste
695,Capinzal,H,-1.0,0.0,Centro-Oeste
696,Capinzal,I,6.0,1.0,Centro-Oeste
697,Capinzal,J,1.0,2.0,Centro-Oeste
698,Capinzal,K,1.0,,Centro-Oeste
699,Capinzal,L,,1.0,Centro-Oeste
700,Capinzal,M,2.0,-1.0,Centro-Oeste
701,Capinzal,N,5.0,-8.0,Centro-Oeste
702,Capinzal,P,0.0,-2.0,Centro-Oeste
703,Capinzal,Q,1.0,5.0,Centro-Oeste
704,Capinzal,R,-2.0,0.0,Centro-Oeste
705,Capinzal,S,1.0,1.0,Centro-Oeste
706,Capivari de Baixo,A,-1.0,23.0,Litoral Sul
707,Capivari de Baixo,C,-14.0,0.0,Litoral Sul
708,Capivari de Baixo,D,,4.0,Litoral Sul
709,Capivari de Baixo,F,-41.0,11.0,Litoral Sul
710,Capivari de Baixo,G,15.0,-19.0,Litoral Sul
711,Capivari de Baixo,H,-1.0,0.0,Litoral Sul
712,Capivari de Baixo,I,3.0,5.0,Litoral Sul
713,Capivari de Baixo,J,,0.0,Litoral Sul
714,Capivari de Baixo,L,,3.0,Litoral Sul
715,Capivari de Baixo,M,-1.0,2.0,Litoral Sul
716,Capivari de Baixo,N,2.0,2.0,Litoral Sul
717,Capivari de Baixo,P,1.0,17.0,Litoral Sul
718,Capivari de Baixo,Q,0.0,1.0,Litoral Sul
719,Capivari de Baixo,R,1.0,0.0,Litoral Sul
720,Capivari de Baixo,S,-13.0,-2.0,Litoral Sul
721,Catanduvas,A,-1.0,4.0,Centro-Oeste
722,Catanduvas,C,-3.0,8.0,Centro-Oeste
723,Catanduvas,F,,-1.0,Centro-Oeste
724,Catanduvas,G,6.0,19.0,Centro-Oeste
725,Catanduvas,H,-4.0,-1.0,Centro-Oeste
726,Catanduvas,I,2.0,2.0,Centro-Oeste
727,Catanduvas,J,1.0,1.0,Centro-Oeste
728,Catanduvas,K,-1.0,0.0,Centro-Oeste
729,Catanduvas,L,,-1.0,Centro-Oeste
730,Catanduvas,M,0.0,3.0,Centro-Oeste
731,Catanduvas,N,-1.0,-1.0,Centro-Oeste
732,Catanduvas,P,-2.0,18.0,Centro-Oeste
733,Catanduvas,Q,1.0,-2.0,Centro-Oeste
734,Catanduvas,S,,6.0,Centro-Oeste
735,Caxambu do Sul,A,1.0,0.0,Oeste
736,Caxambu do Sul,C,-3.0,22.0,Oeste
737,Caxambu do Sul,F,-1.0,,Oeste
738,Caxambu do Sul,G,-3.0,0.0,Oeste
739,Caxambu do Sul,H,0.0,0.0,Oeste
740,Caxambu do Sul,K,-1.0,,Oeste
741,Celso Ramos,C,-2.0,-1.0,Serra Catarinense
742,Celso Ramos,E,3.0,,Serra Catarinense
743,Celso Ramos,G,-2.0,2.0,Serra Catarinense
744,Celso Ramos,H,1.0,0.0,Serra Catarinense
745,Cerro Negro,A,,-1.0,Serra Catarinense
746,Cerro Negro,C,,-1.0,Serra Catarinense
747,Cerro Negro,G,-1.0,1.0,Serra Catarinense
748,Cerro Negro,H,,2.0,Serra Catarinense
749,Chapadão do Lageado,C,0.0,0.0,Alto Vale do Itajaí
750,Chapadão do Lageado,F,1.0,2.0,Alto Vale do Itajaí
751,Chapadão do Lageado,G,2.0,4.0,Alto Vale do Itajaí
752,Chapadão do Lageado,H,1.0,1.0,Alto Vale do Itajaí
753,Chapadão do Lageado,J,2.0,,Alto Vale do Itajaí
754,Chapecó,A,-4.0,3.0,Oeste
755,Chapecó,B,,-1.0,Oeste
756,Chapecó,C,-289.0,366.0,Oeste
757,Chapecó,D,-2.0,3.0,Oeste
758,Chapecó,E,-6.0,12.0,Oeste
759,Chapecó,F,-175.0,156.0,Oeste
760,Chapecó,G,41.0,196.0,Oeste
761,Chapecó,H,-14.0,47.0,Oeste
762,Chapecó,I,4.0,40.0,Oeste
763,Chapecó,J,-4.0,33.0,Oeste
764,Chapecó,K,31.0,35.0,Oeste
765,Chapecó,L,-7.0,14.0,Oeste
766,Chapecó,M,-17.0,8.0,Oeste
767,Chapecó,N,-65.0,145.0,Oeste
768,Chapecó,O,1.0,-3.0,Oeste
769,Chapecó,P,-89.0,78.0,Oeste
770,Chapecó,Q,17.0,149.0,Oeste
771,Chapecó,R,-10.0,6.0,Oeste
772,Chapecó,S,-28.0,19.0,Oeste
773,Chapecó,T,-1.0,6.0,Oeste
774,Cocal do Sul,B,,3.0,Sul
775,Cocal do Sul,C,16.0,38.0,Sul
776,Cocal do Sul,D,,1.0,Sul
777,Cocal do Sul,E,0.0,4.0,Sul
778,Cocal do Sul,F,-2.0,-2.0,Sul
779,Cocal do Sul,G,8.0,6.0,Sul
780,Cocal do Sul,H,10.0,-4.0,Sul
781,Cocal do Sul,I,-1.0,0.0,Sul
782,Cocal do Sul,K,1.0,0.0,Sul
783,Cocal do Sul,L,-1.0,,Sul
784,Cocal do Sul,M,-2.0,-2.0,Sul
785,Cocal do Sul,N,1.0,4.0,Sul
786,Cocal do Sul,O,-2.0,,Sul
787,Cocal do Sul,P,0.0,-3.0,Sul
788,Cocal do Sul,Q,3.0,2.0,Sul
789,Cocal do Sul,S,-2.0,7.0,Sul
790,Concórdia,A,-2.0,0.0,Alto Uruguai Catarinense
791,Concórdia,B,1.0,-1.0,Alto Uruguai Catarinense
792,Concórdia,C,-223.0,69.0,Alto Uruguai Catarinense
793,Concórdia,D,-2.0,1.0,Alto Uruguai Catarinense
794,Concórdia,E,1.0,,Alto Uruguai Catarinense
795,Concórdia,F,-43.0,79.0,Alto Uruguai Catarinense
796,Concórdia,G,-21.0,61.0,Alto Uruguai Catarinense
797,Concórdia,H,14.0,2.0,Alto Uruguai Catarinense
798,Concórdia,I,-18.0,3.0,Alto Uruguai Catarinense
799,Concórdia,J,-8.0,23.0,Alto Uruguai Catarinense
800,Concórdia,K,-2.0,8.0,Alto Uruguai Catarinense
801,Concórdia,L,0.0,-1.0,Alto Uruguai Catarinense
802,Concórdia,M,-1.0,3.0,Alto Uruguai Catarinense
803,Concórdia,N,-1.0,34.0,Alto Uruguai Catarinense
804,Concórdia,O,-275.0,260.0,Alto Uruguai Catarinense
805,Concórdia,P,-46.0,16.0,Alto Uruguai Catarinense
806,Concórdia,Q,3.0,16.0,Alto Uruguai Catarinense
807,Concórdia,R,24.0,2.0,Alto Uruguai Catarinense
808,Concórdia,S,-14.0,-2.0,Alto Uruguai Catarinense
809,Concórdia,T,1.0,,Alto Uruguai Catarinense
810,Cordilheira Alta,A,-3.0,-1.0,Oeste
811,Cordilheira Alta,B,1.0,,Oeste
812,Cordilheira Alta,C,15.0,12.0,Oeste
813,Cordilheira Alta,F,-6.0,-8.0,Oeste
814,Cordilheira Alta,G,-3.0,6.0,Oeste
815,Cordilheira Alta,H,2.0,-6.0,Oeste
816,Cordilheira Alta,I,,1.0,Oeste
817,Cordilheira Alta,K,-1.0,1.0,Oeste
818,Cordilheira Alta,M,1.0,-2.0,Oeste
819,Cordilheira Alta,N,1.0,2.0,Oeste
820,Cordilheira Alta,S,,1.0,Oeste
821,Coronel Freitas,A,0.0,4.0,Oeste
822,Coronel Freitas,C,-35.0,-13.0,Oeste
823,Coronel Freitas,F,-5.0,3.0,Oeste
824,Coronel Freitas,G,1.0,4.0,Oeste
825,Coronel Freitas,H,-2.0,1.0,Oeste
826,Coronel Freitas,I,3.0,2.0,Oeste
827,Coronel Freitas,J,0.0,2.0,Oeste
828,Coronel Freitas,M,1.0,-2.0,Oeste
829,Coronel Freitas,P,,-1.0,Oeste
830,Coronel Freitas,Q,2.0,3.0,Oeste
831,Coronel Freitas,S,3.0,2.0,Oeste
832,Coronel Martins,G,,-1.0,Oeste
833,Coronel Martins,H,1.0,1.0,Oeste
834,Correia Pinto,A,-17.0,1.0,Serra Catarinense
835,Correia Pinto,B,-1.0,,Serra Catarinense
836,Correia Pinto,C,-163.0,40.0,Serra Catarinense
837,Correia Pinto,F,8.0,2.0,Serra Catarinense
838,Correia Pinto,G,10.0,-2.0,Serra Catarinense
839,Correia Pinto,H,-1.0,2.0,Serra Catarinense
840,Correia Pinto,I,-5.0,0.0,Serra Catarinense
841,Correia Pinto,J,,1.0,Serra Catarinense
842,Correia Pinto,M,-1.0,,Serra Catarinense
843,Correia Pinto,N,0.0,,Serra Catarinense
844,Correia Pinto,P,0.0,1.0,Serra Catarinense
845,Correia Pinto,Q,,-1.0,Serra Catarinense
846,Correia Pinto,R,-2.0,,Serra Catarinense
847,Correia Pinto,S,,-1.0,Serra Catarinense
848,Corupá,A,-2.0,1.0,Vale do Itapocu
849,Corupá,C,-88.0,127.0,Vale do Itapocu
850,Corupá,F,,-3.0,Vale do Itapocu
851,Corupá,G,3.0,12.0,Vale do Itapocu
852,Corupá,H,,2.0,Vale do Itapocu
853,Corupá,I,2.0,3.0,Vale do Itapocu
854,Corupá,J,,5.0,Vale do Itapocu
855,Corupá,K,-1.0,,Vale do Itapocu
856,Corupá,L,1.0,,Vale do Itapocu
857,Corupá,M,-6.0,7.0,Vale do Itapocu
858,Corupá,N,,-1.0,Vale do Itapocu
859,Corupá,P,,4.0,Vale do Itapocu
860,Corupá,Q,,1.0,Vale do Itapocu
861,Corupá,R,-1.0,2.0,Vale do Itapocu
862,Corupá,S,1.0,0.0,Vale do Itapocu
863,Criciúma,A,-1.0,3.0,Sul
864,Criciúma,B,-2.0,-2.0,Sul
865,Criciúma,C,-28.0,234.0,Sul
866,Criciúma,D,-2.0,3.0,Sul
867,Criciúma,E,41.0,-21.0,Sul
868,Criciúma,F,-154.0,-99.0,Sul
869,Criciúma,G,112.0,119.0,Sul
870,Criciúma,H,27.0,31.0,Sul
871,Criciúma,I,32.0,299.0,Sul
872,Criciúma,J,9.0,23.0,Sul
873,Criciúma,K,4.0,-11.0,Sul
874,Criciúma,L,1.0,4.0,Sul
875,Criciúma,M,3.0,70.0,Sul
876,Criciúma,N,40.0,16.0,Sul
877,Criciúma,P,-41.0,93.0,Sul
878,Criciúma,Q,117.0,61.0,Sul
879,Criciúma,R,-32.0,26.0,Sul
880,Criciúma,S,-14.0,18.0,Sul
881,Cunha Porã,A,0.0,1.0,Oeste
882,Cunha Porã,C,-18.0,19.0,Oeste
883,Cunha Porã,F,-1.0,-5.0,Oeste
884,Cunha Porã,G,14.0,8.0,Oeste
885,Cunha Porã,H,-2.0,2.0,Oeste
886,Cunha Porã,I,1.0,0.0,Oeste
887,Cunha Porã,J,-1.0,1.0,Oeste
888,Cunha Porã,K,2.0,-1.0,Oeste
889,Cunha Porã,M,,2.0,Oeste
890,Cunha Porã,N,-1.0,,Oeste
891,Cunha Porã,P,-1.0,1.0,Oeste
892,Cunha Porã,Q,2.0,-2.0,Oeste
893,Cunha Porã,S,0.0,2.0,Oeste
894,Cunhataí,A,1.0,,Oeste
895,Cunhataí,C,,-1.0,Oeste
896,Cunhataí,G,0.0,6.0,Oeste
897,Cunhataí,H,-1.0,1.0,Oeste
898,Cunhataí,S,1.0,,Oeste
899,Curitibanos,A,-6.0,3.0,Centro-Norte
900,Curitibanos,B,-3.0,0.0,Centro-Norte
901,Curitibanos,C,0.0,47.0,Centro-Norte
902,Curitibanos,E,2.0,2.0,Centro-Norte
903,Curitibanos,F,3.0,14.0,Centro-Norte
904,Curitibanos,G,25.0,27.0,Centro-Norte
905,Curitibanos,H,5.0,5.0,Centro-Norte
906,Curitibanos,I,0.0,-28.0,Centro-Norte
907,Curitibanos,J,0.0,0.0,Centro-Norte
908,Curitibanos,K,1.0,2.0,Centro-Norte
909,Curitibanos,L,,0.0,Centro-Norte
910,Curitibanos,M,-2.0,-2.0,Centro-Norte
911,Curitibanos,N,4.0,3.0,Centro-Norte
912,Curitibanos,P,-24.0,-3.0,Centro-Norte
913,Curitibanos,Q,6.0,10.0,Centro-Norte
914,Curitibanos,R,,-1.0,Centro-Norte
915,Curitibanos,S,-3.0,4.0,Centro-Norte
916,Descanso,A,1.0,0.0,Extremo Oeste
917,Descanso,C,-5.0,2.0,Extremo Oeste
918,Descanso,F,-6.0,1.0,Extremo Oeste
919,Descanso,G,-2.0,8.0,Extremo Oeste
920,Descanso,H,-1.0,-1.0,Extremo Oeste
921,Descanso,I,2.0,1.0,Extremo Oeste
922,Descanso,J,,1.0,Extremo Oeste
923,Descanso,N,1.0,3.0,Extremo Oeste
924,Descanso,P,,1.0,Extremo Oeste
925,Descanso,Q,1.0,0.0,Extremo Oeste
926,Descanso,R,,1.0,Extremo Oeste
927,Descanso,S,-1.0,1.0,Extremo Oeste
928,Dionísio Cerqueira,A,-1.0,1.0,Extremo Oeste
929,Dionísio Cerqueira,B,2.0,,Extremo Oeste
930,Dionísio Cerqueira,C,-4.0,-1.0,Extremo Oeste
931,Dionísio Cerqueira,E,-1.0,,Extremo Oeste
932,Dionísio Cerqueira,F,-2.0,0.0,Extremo Oeste
933,Dionísio Cerqueira,G,-1.0,18.0,Extremo Oeste
934,Dionísio Cerqueira,H,0.0,1.0,Extremo Oeste
935,Dionísio Cerqueira,I,4.0,0.0,Extremo Oeste
936,Dionísio Cerqueira,J,,1.0,Extremo Oeste
937,Dionísio Cerqueira,M,-1.0,0.0,Extremo Oeste
938,Dionísio Cerqueira,N,1.0,3.0,Extremo Oeste
939,Dionísio Cerqueira,Q,-1.0,1.0,Extremo Oeste
940,Dionísio Cerqueira,R,-1.0,,Extremo Oeste
941,Dona Emma,A,,-1.0,Alto Vale do Itajaí
942,Dona Emma,C,-33.0,24.0,Alto Vale do Itajaí
943,Dona Emma,F,,2.0,Alto Vale do Itajaí
944,Dona Emma,G,1.0,3.0,Alto Vale do Itajaí
945,Dona Emma,H,0.0,0.0,Alto Vale do Itajaí
946,Dona Emma,I,,0.0,Alto Vale do Itajaí
947,Dona Emma,M,,0.0,Alto Vale do Itajaí
948,Dona Emma,N,,1.0,Alto Vale do Itajaí
949,Dona Emma,S,-3.0,-3.0,Alto Vale do Itajaí
950,Doutor Pedrinho,C,-26.0,-8.0,Vale do Itajaí
951,Doutor Pedrinho,G,-5.0,3.0,Vale do Itajaí
952,Doutor Pedrinho,H,,1.0,Vale do Itajaí
953,Doutor Pedrinho,I,0.0,0.0,Vale do Itajaí
954,Doutor Pedrinho,O,-47.0,30.0,Vale do Itajaí
955,Doutor Pedrinho,Q,,-1.0,Vale do Itajaí
956,Doutor Pedrinho,R,,1.0,Vale do Itajaí
957,Entre Rios,C,,-2.0,Oeste
958,Entre Rios,G,-4.0,5.0,Oeste
959,Entre Rios,N,1.0,1.0,Oeste
960,Ermo,A,-1.0,-1.0,Sul
961,Ermo,C,7.0,10.0,Sul
962,Ermo,F,,-1.0,Sul
963,Ermo,G,1.0,1.0,Sul
964,Ermo,H,-2.0,3.0,Sul
965,Ermo,S,,1.0,Sul
966,Erval Velho,A,0.0,0.0,Centro-Oeste
967,Erval Velho,C,-3.0,-3.0,Centro-Oeste
968,Erval Velho,E,,-1.0,Centro-Oeste
969,Erval Velho,F,,-1.0,Centro-Oeste
970,Erval Velho,G,-5.0,13.0,Centro-Oeste
971,Erval Velho,H,1.0,-4.0,Centro-Oeste
972,Erval Velho,I,2.0,1.0,Centro-Oeste
973,Erval Velho,N,-1.0,,Centro-Oeste
974,Erval Velho,S,-2.0,,Centro-Oeste
975,Faxinal dos Guedes,A,-4.0,13.0,Oeste
976,Faxinal dos Guedes,C,-44.0,21.0,Oeste
977,Faxinal dos Guedes,F,-3.0,-4.0,Oeste
978,Faxinal dos Guedes,G,-4.0,10.0,Oeste
979,Faxinal dos Guedes,H,7.0,1.0,Oeste
980,Faxinal dos Guedes,I,-1.0,2.0,Oeste
981,Faxinal dos Guedes,J,0.0,,Oeste
982,Faxinal dos Guedes,K,,1.0,Oeste
983,Faxinal dos Guedes,M,,-2.0,Oeste
984,Faxinal dos Guedes,P,,0.0,Oeste
985,Faxinal dos Guedes,Q,0.0,4.0,Oeste
986,Flor do Sertão,A,,1.0,Oeste
987,Flor do Sertão,C,-7.0,-2.0,Oeste
988,Flor do Sertão,G,-1.0,3.0,Oeste
989,Flor do Sertão,H,-1.0,-2.0,Oeste
990,Florianópolis,A,-7.0,3.0,Sudeste
991,Florianópolis,B,6.0,1.0,Sudeste
