,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
62,62,Alto Bela Vista,TRANSPORTE,Micro,8,16,0,0,Alto Uruguai Catarinense
63,63,Anchieta,AGROPECUÁRIA,Micro,11,17,0,0,Extremo Oeste
64,64,Anchieta,AGROPECUÁRIA,Pequena,1,10,0,0,Extremo Oeste
65,65,Anchieta,COMÉRCIO,Micro,54,93,0,0,Extremo Oeste
66,66,Anchieta,COMÉRCIO,Pequena,3,54,0,0,Extremo Oeste
67,67,Anchieta,INDÚSTRIA,Micro,36,136,0,0,Extremo Oeste
68,68,Anchieta,INDÚSTRIA,Pequena,5,288,0,0,Extremo Oeste
69,69,Anchieta,SERVIÇOS,Grande,1,236,0,0,Extremo Oeste
70,70,Anchieta,SERVIÇOS,Micro,43,92,0,0,Extremo Oeste
71,71,Anchieta,SERVIÇOS,Pequena,1,14,0,0,Extremo Oeste
72,72,Anchieta,TRANSPORTE,Micro,35,20,0,0,Extremo Oeste
73,73,Anchieta,TRANSPORTE,Pequena,1,10,0,0,Extremo Oeste
74,74,Angelina,AGROPECUÁRIA,Micro,4,10,0,0,Sudeste
75,75,Angelina,COMÉRCIO,Micro,45,78,0,0,Sudeste
76,76,Angelina,COMÉRCIO,Pequena,6,84,0,0,Sudeste
77,77,Angelina,INDÚSTRIA,Micro,22,69,0,0,Sudeste
78,78,Angelina,INDÚSTRIA,Pequena,2,88,0,0,Sudeste
79,79,Angelina,SERVIÇOS,Grande,1,215,0,0,Sudeste
80,80,Angelina,SERVIÇOS,Micro,28,60,0,0,Sudeste
81,81,Angelina,SERVIÇOS,Pequena,4,99,0,0,Sudeste
82,82,Angelina,TRANSPORTE,Micro,3,11,0,0,Sudeste
83,83,Angelina,TRANSPORTE,Pequena,2,24,0,0,Sudeste
84,84,Anita Garibaldi,AGROPECUÁRIA,Micro,31,26,0,0,Serra Catarinense
85,85,Anita Garibaldi,COMÉRCIO,Micro,69,125,0,0,Serra Catarinense
86,86,Anita Garibaldi,COMÉRCIO,Pequena,6,85,0,0,Serra Catarinense
87,87,Anita Garibaldi,INDÚSTRIA,Micro,20,81,0,0,Serra Catarinense
88,88,Anita Garibaldi,INDÚSTRIA,Média,1,129,0,0,Serra Catarinense
89,89,Anita Garibaldi,INDÚSTRIA,Pequena,2,156,0,0,Serra Catarinense
90,90,Anita Garibaldi,SERVIÇOS,Grande,1,323,0,0,Serra Catarinense
91,91,Anita Garibaldi,SERVIÇOS,Micro,46,78,0,0,Serra Catarinense
92,92,Anita Garibaldi,SERVIÇOS,Pequena,2,38,0,0,Serra Catarinense
93,93,Anita Garibaldi,TRANSPORTE,Micro,12,21,0,0,Serra Catarinense
94,94,Anitápolis,AGROPECUÁRIA,Micro,12,30,0,0,Sudeste
95,95,Anitápolis,COMÉRCIO,Micro,23,60,0,0,Sudeste
96,96,Anitápolis,COMÉRCIO,Pequena,3,38,0,0,Sudeste
97,97,Anitápolis,INDÚSTRIA,Micro,10,22,0,0,Sudeste
98,98,Anitápolis,INDÚSTRIA,Pequena,2,74,0,0,Sudeste
99,99,Anitápolis,SERVIÇOS,Grande,1,160,0,0,Sudeste
