,Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018),vice_presidencia
37,Biguaçu,R$ 1864510000,27639.5683239942,67458,Sudeste
38,Blumenau,R$ 16958783000,48115.4826079555,352460,Vale do Itajaí
39,Bocaina do Sul,R$ 77865000,22504.3352601156,3460,Serra Catarinense
40,Bom Jardim da Serra,R$ 99803000,21180.6027164686,4712,Serra Catarinense
41,Bom Jesus,R$ 100707000,34011.1448834853,2961,Oeste
42,Bom Jesus do Oeste,R$ 52851000,24627.6794035415,2146,Oeste
43,Bom Retiro,R$ 272609000,27619.959473151,9870,Serra Catarinense
44,Bombinhas,R$ 655740000,34165.5812014797,19193,Foz do Rio Itajaí
45,Botuverá,R$ 321269000,62153.0276649255,5169,Vale do Itajaí Mirim
46,Braço do Norte,R$ 1174452000,35572.2074145869,33016,Litoral Sul
47,Braço do Trombudo,R$ 155673000,41870.0914470145,3718,Alto Vale do Itajaí
48,Brunópolis,R$ 81242000,32851.5972503033,2473,Centro-Oeste
49,Brusque,R$ 6375501000,48408.1683788524,131703,Vale do Itajaí Mirim
50,Caçador,R$ 3298867000,42367.5815213901,77863,Centro-Norte
51,Caibi,R$ 207599000,33662.8830874007,6167,Oeste
52,Calmon,R$ 70125000,20889.1867739053,3357,Centro-Norte
53,Camboriú,R$ 1501132000,18570.5519954475,80834,Foz do Rio Itajaí
54,Campo Alegre,R$ 490998000,41005.3449139803,11974,Planalto Norte
55,Campo Belo do Sul,R$ 228163000,32221.8613190227,7081,Serra Catarinense
56,Campo Erê,R$ 293753000,34014.9374710514,8636,Oeste
57,Campos Novos,R$ 1948611000,54233.5374338992,35930,Centro-Oeste
58,Canelinha,R$ 189952000,15724.5033112583,12080,Sudeste
59,Canoinhas,R$ 1702047000,31334.2845045012,54319,Centro-Norte
60,Capão Alto,R$ 118404000,46323.9436619718,2556,Serra Catarinense
61,Capinzal,R$ 833964000,36806.6025244947,22658,Centro-Oeste
62,Capivari de Baixo,R$ 783871000,31917.8712488293,24559,Litoral Sul
63,Catanduvas,R$ 406680000,37883.5584536563,10735,Centro-Oeste
64,Caxambu do Sul,R$ 119272000,31933.6010709505,3735,Oeste
65,Celso Ramos,R$ 55172000,20150.4747991234,2738,Serra Catarinense
66,Cerro Negro,R$ 80999000,25463.376296762,3181,Serra Catarinense
67,Chapadão do Lageado,R$ 83224000,28030.9868642641,2969,Alto Vale do Itajaí
68,Chapecó,R$ 9602337000,44321.06953945,216654,Oeste
69,Cocal do Sul,R$ 655400000,39615.5705996132,16544,Sul
70,Concórdia,R$ 3349381000,45197.1635225218,74106,Alto Uruguai Catarinense
71,Cordilheira Alta,R$ 257007000,58610.4903078677,4385,Oeste
72,Coronel Freitas,R$ 269998000,26940.5308321692,10022,Oeste
