,Município,Setor,Escolaridade,Empregados,vice_presidencia
0,Abdon Batista,AGROPECUÁRIA,Fundamental completo,2,Centro-Oeste
1,Abdon Batista,AGROPECUÁRIA,Fundamental incompleto,4,Centro-Oeste
2,Abdon Batista,AGROPECUÁRIA,Medio completo,2,Centro-Oeste
3,Abdon Batista,AGROPECUÁRIA,Superior Completo,1,Centro-Oeste
4,Abdon Batista,COMÉRCIO,Analfabeto,1,Centro-Oeste
5,Abdon Batista,COMÉRCIO,Fundamental completo,6,Centro-Oeste
6,Abdon Batista,COMÉRCIO,Fundamental incompleto,3,Centro-Oeste
7,Abdon Batista,COMÉRCIO,Medio completo,72,Centro-Oeste
8,Abdon Batista,COMÉRCIO,Medio incompleto,8,Centro-Oeste
9,Abdon Batista,COMÉRCIO,Superior Completo,14,Centro-Oeste
10,Abdon Batista,COMÉRCIO,Superior Incompleto,1,Centro-Oeste
11,Abdon Batista,INDÚSTRIA,Fundamental incompleto,6,Centro-Oeste
12,Abdon Batista,INDÚSTRIA,Medio completo,39,Centro-Oeste
13,Abdon Batista,INDÚSTRIA,Medio incompleto,4,Centro-Oeste
14,Abdon Batista,INDÚSTRIA,Superior Completo,7,Centro-Oeste
15,Abdon Batista,INDÚSTRIA,Superior Incompleto,6,Centro-Oeste
16,Abdon Batista,SERVIÇOS,Fundamental completo,16,Centro-Oeste
17,Abdon Batista,SERVIÇOS,Fundamental incompleto,17,Centro-Oeste
18,Abdon Batista,SERVIÇOS,Medio completo,111,Centro-Oeste
19,Abdon Batista,SERVIÇOS,Medio incompleto,6,Centro-Oeste
20,Abdon Batista,SERVIÇOS,Pós-graduação,2,Centro-Oeste
21,Abdon Batista,SERVIÇOS,Superior Completo,116,Centro-Oeste
22,Abdon Batista,SERVIÇOS,Superior Incompleto,34,Centro-Oeste
23,Abdon Batista,TRANSPORTE,Fundamental completo,4,Centro-Oeste
24,Abdon Batista,TRANSPORTE,Fundamental incompleto,2,Centro-Oeste
25,Abdon Batista,TRANSPORTE,Medio completo,12,Centro-Oeste
26,Abdon Batista,TRANSPORTE,Medio incompleto,3,Centro-Oeste
27,Abdon Batista,TRANSPORTE,Superior Completo,1,Centro-Oeste
28,Abelardo Luz,AGROPECUÁRIA,Analfabeto,1,Oeste
29,Abelardo Luz,AGROPECUÁRIA,Fundamental completo,50,Oeste
30,Abelardo Luz,AGROPECUÁRIA,Fundamental incompleto,142,Oeste
31,Abelardo Luz,AGROPECUÁRIA,Medio completo,137,Oeste
32,Abelardo Luz,AGROPECUÁRIA,Medio incompleto,35,Oeste
33,Abelardo Luz,AGROPECUÁRIA,Pós-graduação,1,Oeste
34,Abelardo Luz,AGROPECUÁRIA,Superior Completo,33,Oeste
35,Abelardo Luz,AGROPECUÁRIA,Superior Incompleto,7,Oeste
36,Abelardo Luz,COMÉRCIO,Fundamental completo,50,Oeste
37,Abelardo Luz,COMÉRCIO,Fundamental incompleto,71,Oeste
38,Abelardo Luz,COMÉRCIO,Medio completo,433,Oeste
39,Abelardo Luz,COMÉRCIO,Medio incompleto,80,Oeste
40,Abelardo Luz,COMÉRCIO,Superior Completo,64,Oeste
41,Abelardo Luz,COMÉRCIO,Superior Incompleto,44,Oeste
42,Abelardo Luz,INDÚSTRIA,Analfabeto,467,Oeste
43,Abelardo Luz,INDÚSTRIA,Fundamental completo,199,Oeste
44,Abelardo Luz,INDÚSTRIA,Fundamental incompleto,269,Oeste
45,Abelardo Luz,INDÚSTRIA,Medio completo,582,Oeste
46,Abelardo Luz,INDÚSTRIA,Medio incompleto,185,Oeste
47,Abelardo Luz,INDÚSTRIA,Superior Completo,105,Oeste
48,Abelardo Luz,INDÚSTRIA,Superior Incompleto,40,Oeste
49,Abelardo Luz,SERVIÇOS,Fundamental completo,92,Oeste
50,Abelardo Luz,SERVIÇOS,Fundamental incompleto,93,Oeste
51,Abelardo Luz,SERVIÇOS,Medio completo,402,Oeste
52,Abelardo Luz,SERVIÇOS,Medio incompleto,53,Oeste
53,Abelardo Luz,SERVIÇOS,Pós-graduação,1,Oeste
54,Abelardo Luz,SERVIÇOS,Superior Completo,423,Oeste
55,Abelardo Luz,SERVIÇOS,Superior Incompleto,58,Oeste
56,Abelardo Luz,TRANSPORTE,Fundamental completo,18,Oeste
57,Abelardo Luz,TRANSPORTE,Fundamental incompleto,29,Oeste
58,Abelardo Luz,TRANSPORTE,Medio completo,76,Oeste
59,Abelardo Luz,TRANSPORTE,Medio incompleto,9,Oeste
60,Abelardo Luz,TRANSPORTE,Superior Completo,5,Oeste
61,Abelardo Luz,TRANSPORTE,Superior Incompleto,4,Oeste
62,Agrolândia,AGROPECUÁRIA,Fundamental completo,7,Alto Vale do Itajaí
63,Agrolândia,AGROPECUÁRIA,Fundamental incompleto,17,Alto Vale do Itajaí
64,Agrolândia,AGROPECUÁRIA,Medio completo,7,Alto Vale do Itajaí
65,Agrolândia,AGROPECUÁRIA,Medio incompleto,3,Alto Vale do Itajaí
66,Agrolândia,AGROPECUÁRIA,Superior Completo,2,Alto Vale do Itajaí
67,Agrolândia,COMÉRCIO,Fundamental completo,37,Alto Vale do Itajaí
68,Agrolândia,COMÉRCIO,Fundamental incompleto,37,Alto Vale do Itajaí
69,Agrolândia,COMÉRCIO,Medio completo,185,Alto Vale do Itajaí
70,Agrolândia,COMÉRCIO,Medio incompleto,61,Alto Vale do Itajaí
71,Agrolândia,COMÉRCIO,Superior Completo,18,Alto Vale do Itajaí
72,Agrolândia,COMÉRCIO,Superior Incompleto,21,Alto Vale do Itajaí
73,Agrolândia,INDÚSTRIA,Analfabeto,6,Alto Vale do Itajaí
74,Agrolândia,INDÚSTRIA,Fundamental completo,373,Alto Vale do Itajaí
75,Agrolândia,INDÚSTRIA,Fundamental incompleto,336,Alto Vale do Itajaí
76,Agrolândia,INDÚSTRIA,Medio completo,939,Alto Vale do Itajaí
77,Agrolândia,INDÚSTRIA,Medio incompleto,243,Alto Vale do Itajaí
78,Agrolândia,INDÚSTRIA,Superior Completo,74,Alto Vale do Itajaí
79,Agrolândia,INDÚSTRIA,Superior Incompleto,70,Alto Vale do Itajaí
80,Agrolândia,SERVIÇOS,Fundamental completo,42,Alto Vale do Itajaí
81,Agrolândia,SERVIÇOS,Fundamental incompleto,56,Alto Vale do Itajaí
82,Agrolândia,SERVIÇOS,Medio completo,173,Alto Vale do Itajaí
83,Agrolândia,SERVIÇOS,Medio incompleto,20,Alto Vale do Itajaí
84,Agrolândia,SERVIÇOS,Superior Completo,195,Alto Vale do Itajaí
85,Agrolândia,SERVIÇOS,Superior Incompleto,21,Alto Vale do Itajaí
86,Agrolândia,TRANSPORTE,Fundamental completo,8,Alto Vale do Itajaí
87,Agrolândia,TRANSPORTE,Fundamental incompleto,7,Alto Vale do Itajaí
88,Agrolândia,TRANSPORTE,Medio completo,25,Alto Vale do Itajaí
89,Agrolândia,TRANSPORTE,Medio incompleto,4,Alto Vale do Itajaí
90,Agrolândia,TRANSPORTE,Superior Incompleto,1,Alto Vale do Itajaí
91,Agronômica,AGROPECUÁRIA,Fundamental completo,1,Alto Vale do Itajaí
92,Agronômica,AGROPECUÁRIA,Medio completo,6,Alto Vale do Itajaí
93,Agronômica,COMÉRCIO,Fundamental completo,11,Alto Vale do Itajaí
94,Agronômica,COMÉRCIO,Fundamental incompleto,17,Alto Vale do Itajaí
95,Agronômica,COMÉRCIO,Medio completo,133,Alto Vale do Itajaí
96,Agronômica,COMÉRCIO,Medio incompleto,21,Alto Vale do Itajaí
97,Agronômica,COMÉRCIO,Superior Completo,19,Alto Vale do Itajaí
98,Agronômica,COMÉRCIO,Superior Incompleto,22,Alto Vale do Itajaí
99,Agronômica,INDÚSTRIA,Fundamental completo,58,Alto Vale do Itajaí
100,Agronômica,INDÚSTRIA,Fundamental incompleto,53,Alto Vale do Itajaí
101,Agronômica,INDÚSTRIA,Medio completo,305,Alto Vale do Itajaí
102,Agronômica,INDÚSTRIA,Medio incompleto,40,Alto Vale do Itajaí
103,Agronômica,INDÚSTRIA,Superior Completo,28,Alto Vale do Itajaí
104,Agronômica,INDÚSTRIA,Superior Incompleto,18,Alto Vale do Itajaí
105,Agronômica,SERVIÇOS,Fundamental completo,10,Alto Vale do Itajaí
106,Agronômica,SERVIÇOS,Fundamental incompleto,41,Alto Vale do Itajaí
107,Agronômica,SERVIÇOS,Medio completo,100,Alto Vale do Itajaí
108,Agronômica,SERVIÇOS,Medio incompleto,6,Alto Vale do Itajaí
109,Agronômica,SERVIÇOS,Pós-graduação,1,Alto Vale do Itajaí
110,Agronômica,SERVIÇOS,Superior Completo,94,Alto Vale do Itajaí
111,Agronômica,SERVIÇOS,Superior Incompleto,18,Alto Vale do Itajaí
112,Agronômica,TRANSPORTE,Analfabeto,1,Alto Vale do Itajaí
113,Agronômica,TRANSPORTE,Fundamental completo,5,Alto Vale do Itajaí
114,Agronômica,TRANSPORTE,Fundamental incompleto,8,Alto Vale do Itajaí
115,Agronômica,TRANSPORTE,Medio completo,36,Alto Vale do Itajaí
116,Agronômica,TRANSPORTE,Medio incompleto,3,Alto Vale do Itajaí
117,Agronômica,TRANSPORTE,Superior Completo,6,Alto Vale do Itajaí
118,Alfredo Wagner,AGROPECUÁRIA,Analfabeto,1,Sudeste
119,Alfredo Wagner,AGROPECUÁRIA,Fundamental completo,10,Sudeste
120,Alfredo Wagner,AGROPECUÁRIA,Fundamental incompleto,5,Sudeste
121,Alfredo Wagner,AGROPECUÁRIA,Medio completo,22,Sudeste
122,Alfredo Wagner,AGROPECUÁRIA,Medio incompleto,5,Sudeste
123,Alfredo Wagner,AGROPECUÁRIA,Superior Completo,1,Sudeste
124,Alfredo Wagner,AGROPECUÁRIA,Superior Incompleto,1,Sudeste
125,Alfredo Wagner,COMÉRCIO,Analfabeto,2,Sudeste
126,Alfredo Wagner,COMÉRCIO,Fundamental completo,33,Sudeste
127,Alfredo Wagner,COMÉRCIO,Fundamental incompleto,18,Sudeste
128,Alfredo Wagner,COMÉRCIO,Medio completo,332,Sudeste
129,Alfredo Wagner,COMÉRCIO,Medio incompleto,56,Sudeste
130,Alfredo Wagner,COMÉRCIO,Superior Completo,32,Sudeste
131,Alfredo Wagner,COMÉRCIO,Superior Incompleto,16,Sudeste
132,Alfredo Wagner,INDÚSTRIA,Analfabeto,1,Sudeste
133,Alfredo Wagner,INDÚSTRIA,Fundamental completo,11,Sudeste
134,Alfredo Wagner,INDÚSTRIA,Fundamental incompleto,7,Sudeste
135,Alfredo Wagner,INDÚSTRIA,Medio completo,106,Sudeste
136,Alfredo Wagner,INDÚSTRIA,Medio incompleto,11,Sudeste
137,Alfredo Wagner,INDÚSTRIA,Superior Completo,5,Sudeste
138,Alfredo Wagner,INDÚSTRIA,Superior Incompleto,2,Sudeste
139,Alfredo Wagner,SERVIÇOS,Analfabeto,1,Sudeste
140,Alfredo Wagner,SERVIÇOS,Fundamental completo,38,Sudeste
141,Alfredo Wagner,SERVIÇOS,Fundamental incompleto,49,Sudeste
142,Alfredo Wagner,SERVIÇOS,Medio completo,237,Sudeste
143,Alfredo Wagner,SERVIÇOS,Medio incompleto,49,Sudeste
144,Alfredo Wagner,SERVIÇOS,Superior Completo,131,Sudeste
145,Alfredo Wagner,SERVIÇOS,Superior Incompleto,17,Sudeste
146,Alfredo Wagner,TRANSPORTE,Fundamental completo,1,Sudeste
147,Alfredo Wagner,TRANSPORTE,Fundamental incompleto,1,Sudeste
148,Alfredo Wagner,TRANSPORTE,Medio completo,12,Sudeste
149,Alfredo Wagner,TRANSPORTE,Medio incompleto,3,Sudeste
150,Alfredo Wagner,TRANSPORTE,Superior Incompleto,1,Sudeste
151,Alto Bela Vista,AGROPECUÁRIA,Fundamental completo,2,Alto Uruguai Catarinense
152,Alto Bela Vista,AGROPECUÁRIA,Fundamental incompleto,1,Alto Uruguai Catarinense
153,Alto Bela Vista,AGROPECUÁRIA,Medio completo,7,Alto Uruguai Catarinense
154,Alto Bela Vista,AGROPECUÁRIA,Medio incompleto,1,Alto Uruguai Catarinense
155,Alto Bela Vista,COMÉRCIO,Fundamental completo,4,Alto Uruguai Catarinense
156,Alto Bela Vista,COMÉRCIO,Fundamental incompleto,1,Alto Uruguai Catarinense
157,Alto Bela Vista,COMÉRCIO,Medio completo,29,Alto Uruguai Catarinense
158,Alto Bela Vista,COMÉRCIO,Medio incompleto,3,Alto Uruguai Catarinense
159,Alto Bela Vista,COMÉRCIO,Superior Completo,7,Alto Uruguai Catarinense
160,Alto Bela Vista,COMÉRCIO,Superior Incompleto,3,Alto Uruguai Catarinense
161,Alto Bela Vista,INDÚSTRIA,Fundamental completo,14,Alto Uruguai Catarinense
162,Alto Bela Vista,INDÚSTRIA,Fundamental incompleto,21,Alto Uruguai Catarinense
163,Alto Bela Vista,INDÚSTRIA,Medio completo,53,Alto Uruguai Catarinense
164,Alto Bela Vista,INDÚSTRIA,Medio incompleto,6,Alto Uruguai Catarinense
165,Alto Bela Vista,INDÚSTRIA,Superior Completo,9,Alto Uruguai Catarinense
166,Alto Bela Vista,INDÚSTRIA,Superior Incompleto,3,Alto Uruguai Catarinense
167,Alto Bela Vista,SERVIÇOS,Fundamental completo,12,Alto Uruguai Catarinense
168,Alto Bela Vista,SERVIÇOS,Fundamental incompleto,18,Alto Uruguai Catarinense
169,Alto Bela Vista,SERVIÇOS,Medio completo,58,Alto Uruguai Catarinense
170,Alto Bela Vista,SERVIÇOS,Medio incompleto,2,Alto Uruguai Catarinense
171,Alto Bela Vista,SERVIÇOS,Superior Completo,70,Alto Uruguai Catarinense
172,Alto Bela Vista,SERVIÇOS,Superior Incompleto,6,Alto Uruguai Catarinense
173,Alto Bela Vista,TRANSPORTE,Analfabeto,1,Alto Uruguai Catarinense
174,Alto Bela Vista,TRANSPORTE,Fundamental completo,2,Alto Uruguai Catarinense
175,Alto Bela Vista,TRANSPORTE,Fundamental incompleto,3,Alto Uruguai Catarinense
176,Alto Bela Vista,TRANSPORTE,Medio completo,10,Alto Uruguai Catarinense
177,Alto Bela Vista,TRANSPORTE,Superior Completo,2,Alto Uruguai Catarinense
178,Anchieta,AGROPECUÁRIA,Fundamental incompleto,1,Extremo Oeste
179,Anchieta,AGROPECUÁRIA,Medio completo,25,Extremo Oeste
180,Anchieta,AGROPECUÁRIA,Medio incompleto,1,Extremo Oeste
181,Anchieta,COMÉRCIO,Fundamental completo,9,Extremo Oeste
182,Anchieta,COMÉRCIO,Fundamental incompleto,9,Extremo Oeste
183,Anchieta,COMÉRCIO,Medio completo,107,Extremo Oeste
184,Anchieta,COMÉRCIO,Medio incompleto,14,Extremo Oeste
185,Anchieta,COMÉRCIO,Superior Completo,20,Extremo Oeste
186,Anchieta,COMÉRCIO,Superior Incompleto,7,Extremo Oeste
187,Anchieta,INDÚSTRIA,Fundamental completo,29,Extremo Oeste
188,Anchieta,INDÚSTRIA,Fundamental incompleto,92,Extremo Oeste
189,Anchieta,INDÚSTRIA,Medio completo,221,Extremo Oeste
190,Anchieta,INDÚSTRIA,Medio incompleto,36,Extremo Oeste
191,Anchieta,INDÚSTRIA,Superior Completo,25,Extremo Oeste
192,Anchieta,INDÚSTRIA,Superior Incompleto,21,Extremo Oeste
193,Anchieta,SERVIÇOS,Fundamental completo,21,Extremo Oeste
194,Anchieta,SERVIÇOS,Fundamental incompleto,26,Extremo Oeste
195,Anchieta,SERVIÇOS,Medio completo,138,Extremo Oeste
196,Anchieta,SERVIÇOS,Medio incompleto,16,Extremo Oeste
197,Anchieta,SERVIÇOS,Pós-graduação,3,Extremo Oeste
198,Anchieta,SERVIÇOS,Superior Completo,141,Extremo Oeste
199,Anchieta,SERVIÇOS,Superior Incompleto,14,Extremo Oeste
200,Anchieta,TRANSPORTE,Fundamental completo,2,Extremo Oeste
201,Anchieta,TRANSPORTE,Fundamental incompleto,7,Extremo Oeste
202,Anchieta,TRANSPORTE,Medio completo,53,Extremo Oeste
203,Anchieta,TRANSPORTE,Medio incompleto,4,Extremo Oeste
204,Anchieta,TRANSPORTE,Superior Completo,5,Extremo Oeste
205,Anchieta,TRANSPORTE,Superior Incompleto,3,Extremo Oeste
206,Angelina,AGROPECUÁRIA,Fundamental completo,2,Sudeste
207,Angelina,AGROPECUÁRIA,Fundamental incompleto,2,Sudeste
208,Angelina,AGROPECUÁRIA,Medio completo,6,Sudeste
209,Angelina,COMÉRCIO,Fundamental completo,22,Sudeste
210,Angelina,COMÉRCIO,Fundamental incompleto,22,Sudeste
211,Angelina,COMÉRCIO,Medio completo,91,Sudeste
212,Angelina,COMÉRCIO,Medio incompleto,22,Sudeste
213,Angelina,COMÉRCIO,Superior Completo,10,Sudeste
214,Angelina,COMÉRCIO,Superior Incompleto,9,Sudeste
215,Angelina,INDÚSTRIA,Fundamental completo,28,Sudeste
216,Angelina,INDÚSTRIA,Fundamental incompleto,28,Sudeste
217,Angelina,INDÚSTRIA,Medio completo,81,Sudeste
218,Angelina,INDÚSTRIA,Medio incompleto,20,Sudeste
219,Angelina,INDÚSTRIA,Superior Incompleto,1,Sudeste
220,Angelina,SERVIÇOS,Analfabeto,1,Sudeste
221,Angelina,SERVIÇOS,Fundamental completo,28,Sudeste
222,Angelina,SERVIÇOS,Fundamental incompleto,98,Sudeste
223,Angelina,SERVIÇOS,Medio completo,130,Sudeste
224,Angelina,SERVIÇOS,Medio incompleto,17,Sudeste
225,Angelina,SERVIÇOS,Pós-graduação,1,Sudeste
226,Angelina,SERVIÇOS,Superior Completo,98,Sudeste
227,Angelina,SERVIÇOS,Superior Incompleto,11,Sudeste
228,Angelina,TRANSPORTE,Fundamental completo,6,Sudeste
229,Angelina,TRANSPORTE,Fundamental incompleto,10,Sudeste
230,Angelina,TRANSPORTE,Medio completo,14,Sudeste
231,Angelina,TRANSPORTE,Medio incompleto,4,Sudeste
232,Angelina,TRANSPORTE,Superior Completo,1,Sudeste
233,Anita Garibaldi,AGROPECUÁRIA,Analfabeto,1,Serra Catarinense
234,Anita Garibaldi,AGROPECUÁRIA,Fundamental completo,8,Serra Catarinense
235,Anita Garibaldi,AGROPECUÁRIA,Fundamental incompleto,14,Serra Catarinense
236,Anita Garibaldi,AGROPECUÁRIA,Medio completo,17,Serra Catarinense
237,Anita Garibaldi,AGROPECUÁRIA,Medio incompleto,6,Serra Catarinense
238,Anita Garibaldi,AGROPECUÁRIA,Superior Completo,2,Serra Catarinense
239,Anita Garibaldi,COMÉRCIO,Analfabeto,1,Serra Catarinense
240,Anita Garibaldi,COMÉRCIO,Fundamental completo,19,Serra Catarinense
241,Anita Garibaldi,COMÉRCIO,Fundamental incompleto,21,Serra Catarinense
242,Anita Garibaldi,COMÉRCIO,Medio completo,160,Serra Catarinense
243,Anita Garibaldi,COMÉRCIO,Medio incompleto,26,Serra Catarinense
244,Anita Garibaldi,COMÉRCIO,Superior Completo,23,Serra Catarinense
245,Anita Garibaldi,COMÉRCIO,Superior Incompleto,4,Serra Catarinense
246,Anita Garibaldi,INDÚSTRIA,Analfabeto,1,Serra Catarinense
247,Anita Garibaldi,INDÚSTRIA,Fundamental completo,30,Serra Catarinense
248,Anita Garibaldi,INDÚSTRIA,Fundamental incompleto,37,Serra Catarinense
249,Anita Garibaldi,INDÚSTRIA,Medio completo,235,Serra Catarinense
250,Anita Garibaldi,INDÚSTRIA,Medio incompleto,33,Serra Catarinense
251,Anita Garibaldi,INDÚSTRIA,Superior Completo,15,Serra Catarinense
252,Anita Garibaldi,INDÚSTRIA,Superior Incompleto,15,Serra Catarinense
253,Anita Garibaldi,SERVIÇOS,Analfabeto,1,Serra Catarinense
254,Anita Garibaldi,SERVIÇOS,Fundamental completo,52,Serra Catarinense
255,Anita Garibaldi,SERVIÇOS,Fundamental incompleto,52,Serra Catarinense
256,Anita Garibaldi,SERVIÇOS,Medio completo,142,Serra Catarinense
257,Anita Garibaldi,SERVIÇOS,Medio incompleto,8,Serra Catarinense
258,Anita Garibaldi,SERVIÇOS,Superior Completo,183,Serra Catarinense
259,Anita Garibaldi,SERVIÇOS,Superior Incompleto,13,Serra Catarinense
260,Anita Garibaldi,TRANSPORTE,Fundamental completo,1,Serra Catarinense
261,Anita Garibaldi,TRANSPORTE,Fundamental incompleto,4,Serra Catarinense
262,Anita Garibaldi,TRANSPORTE,Medio completo,20,Serra Catarinense
263,Anita Garibaldi,TRANSPORTE,Superior Completo,2,Serra Catarinense
264,Anita Garibaldi,TRANSPORTE,Superior Incompleto,1,Serra Catarinense
265,Anitápolis,AGROPECUÁRIA,Fundamental completo,2,Sudeste
266,Anitápolis,AGROPECUÁRIA,Fundamental incompleto,4,Sudeste
267,Anitápolis,AGROPECUÁRIA,Medio completo,24,Sudeste
268,Anitápolis,AGROPECUÁRIA,Medio incompleto,2,Sudeste
269,Anitápolis,COMÉRCIO,Fundamental completo,3,Sudeste
270,Anitápolis,COMÉRCIO,Fundamental incompleto,3,Sudeste
271,Anitápolis,COMÉRCIO,Medio completo,69,Sudeste
272,Anitápolis,COMÉRCIO,Medio incompleto,19,Sudeste
273,Anitápolis,COMÉRCIO,Superior Completo,5,Sudeste
274,Anitápolis,COMÉRCIO,Superior Incompleto,2,Sudeste
275,Anitápolis,INDÚSTRIA,Fundamental completo,34,Sudeste
276,Anitápolis,INDÚSTRIA,Fundamental incompleto,10,Sudeste
277,Anitápolis,INDÚSTRIA,Medio completo,31,Sudeste
278,Anitápolis,INDÚSTRIA,Medio incompleto,15,Sudeste
279,Anitápolis,INDÚSTRIA,Superior Completo,4,Sudeste
280,Anitápolis,INDÚSTRIA,Superior Incompleto,3,Sudeste
281,Anitápolis,SERVIÇOS,Analfabeto,1,Sudeste
282,Anitápolis,SERVIÇOS,Fundamental completo,38,Sudeste
283,Anitápolis,SERVIÇOS,Fundamental incompleto,33,Sudeste
284,Anitápolis,SERVIÇOS,Medio completo,68,Sudeste
285,Anitápolis,SERVIÇOS,Medio incompleto,8,Sudeste
286,Anitápolis,SERVIÇOS,Superior Completo,89,Sudeste
287,Anitápolis,SERVIÇOS,Superior Incompleto,10,Sudeste
288,Anitápolis,TRANSPORTE,Fundamental incompleto,2,Sudeste
289,Anitápolis,TRANSPORTE,Medio completo,3,Sudeste
290,Anitápolis,TRANSPORTE,Medio incompleto,1,Sudeste
291,Anitápolis,TRANSPORTE,Superior Completo,1,Sudeste
292,Antônio Carlos,AGROPECUÁRIA,Analfabeto,1,Sudeste
293,Antônio Carlos,AGROPECUÁRIA,Fundamental completo,17,Sudeste
294,Antônio Carlos,AGROPECUÁRIA,Fundamental incompleto,17,Sudeste
295,Antônio Carlos,AGROPECUÁRIA,Medio completo,28,Sudeste
296,Antônio Carlos,AGROPECUÁRIA,Medio incompleto,8,Sudeste
297,Antônio Carlos,AGROPECUÁRIA,Superior Completo,1,Sudeste
298,Antônio Carlos,COMÉRCIO,Fundamental completo,46,Sudeste
299,Antônio Carlos,COMÉRCIO,Fundamental incompleto,45,Sudeste
300,Antônio Carlos,COMÉRCIO,Medio completo,260,Sudeste
301,Antônio Carlos,COMÉRCIO,Medio incompleto,37,Sudeste
302,Antônio Carlos,COMÉRCIO,Superior Completo,27,Sudeste
303,Antônio Carlos,COMÉRCIO,Superior Incompleto,14,Sudeste
304,Antônio Carlos,INDÚSTRIA,Analfabeto,13,Sudeste
305,Antônio Carlos,INDÚSTRIA,Fundamental completo,163,Sudeste
306,Antônio Carlos,INDÚSTRIA,Fundamental incompleto,122,Sudeste
307,Antônio Carlos,INDÚSTRIA,Medio completo,509,Sudeste
308,Antônio Carlos,INDÚSTRIA,Medio incompleto,95,Sudeste
309,Antônio Carlos,INDÚSTRIA,Pós-graduação,2,Sudeste
310,Antônio Carlos,INDÚSTRIA,Superior Completo,101,Sudeste
311,Antônio Carlos,INDÚSTRIA,Superior Incompleto,25,Sudeste
312,Antônio Carlos,SERVIÇOS,Analfabeto,2,Sudeste
313,Antônio Carlos,SERVIÇOS,Fundamental completo,60,Sudeste
314,Antônio Carlos,SERVIÇOS,Fundamental incompleto,76,Sudeste
315,Antônio Carlos,SERVIÇOS,Medio completo,194,Sudeste
316,Antônio Carlos,SERVIÇOS,Medio incompleto,9,Sudeste
317,Antônio Carlos,SERVIÇOS,Pós-graduação,2,Sudeste
318,Antônio Carlos,SERVIÇOS,Superior Completo,211,Sudeste
319,Antônio Carlos,SERVIÇOS,Superior Incompleto,27,Sudeste
320,Antônio Carlos,TRANSPORTE,Fundamental completo,53,Sudeste
321,Antônio Carlos,TRANSPORTE,Fundamental incompleto,33,Sudeste
322,Antônio Carlos,TRANSPORTE,Medio completo,127,Sudeste
323,Antônio Carlos,TRANSPORTE,Medio incompleto,30,Sudeste
324,Antônio Carlos,TRANSPORTE,Pós-graduação,1,Sudeste
325,Antônio Carlos,TRANSPORTE,Superior Completo,10,Sudeste
326,Antônio Carlos,TRANSPORTE,Superior Incompleto,7,Sudeste
327,Apiúna,AGROPECUÁRIA,Fundamental completo,5,Vale do Itajaí
328,Apiúna,AGROPECUÁRIA,Fundamental incompleto,8,Vale do Itajaí
329,Apiúna,AGROPECUÁRIA,Medio completo,15,Vale do Itajaí
330,Apiúna,AGROPECUÁRIA,Medio incompleto,3,Vale do Itajaí
331,Apiúna,COMÉRCIO,Fundamental completo,45,Vale do Itajaí
332,Apiúna,COMÉRCIO,Fundamental incompleto,32,Vale do Itajaí
333,Apiúna,COMÉRCIO,Medio completo,184,Vale do Itajaí
334,Apiúna,COMÉRCIO,Medio incompleto,35,Vale do Itajaí
335,Apiúna,COMÉRCIO,Pós-graduação,1,Vale do Itajaí
336,Apiúna,COMÉRCIO,Superior Completo,20,Vale do Itajaí
337,Apiúna,COMÉRCIO,Superior Incompleto,22,Vale do Itajaí
338,Apiúna,INDÚSTRIA,Analfabeto,6,Vale do Itajaí
339,Apiúna,INDÚSTRIA,Fundamental completo,262,Vale do Itajaí
340,Apiúna,INDÚSTRIA,Fundamental incompleto,378,Vale do Itajaí
341,Apiúna,INDÚSTRIA,Medio completo,761,Vale do Itajaí
342,Apiúna,INDÚSTRIA,Medio incompleto,227,Vale do Itajaí
343,Apiúna,INDÚSTRIA,Pós-graduação,1,Vale do Itajaí
344,Apiúna,INDÚSTRIA,Superior Completo,109,Vale do Itajaí
345,Apiúna,INDÚSTRIA,Superior Incompleto,78,Vale do Itajaí
346,Apiúna,SERVIÇOS,Analfabeto,2,Vale do Itajaí
347,Apiúna,SERVIÇOS,Fundamental completo,68,Vale do Itajaí
348,Apiúna,SERVIÇOS,Fundamental incompleto,107,Vale do Itajaí
349,Apiúna,SERVIÇOS,Medio completo,236,Vale do Itajaí
350,Apiúna,SERVIÇOS,Medio incompleto,51,Vale do Itajaí
351,Apiúna,SERVIÇOS,Pós-graduação,4,Vale do Itajaí
352,Apiúna,SERVIÇOS,Superior Completo,254,Vale do Itajaí
353,Apiúna,SERVIÇOS,Superior Incompleto,37,Vale do Itajaí
354,Apiúna,TRANSPORTE,Analfabeto,1,Vale do Itajaí
355,Apiúna,TRANSPORTE,Fundamental completo,17,Vale do Itajaí
356,Apiúna,TRANSPORTE,Fundamental incompleto,14,Vale do Itajaí
357,Apiúna,TRANSPORTE,Medio completo,36,Vale do Itajaí
358,Apiúna,TRANSPORTE,Medio incompleto,8,Vale do Itajaí
359,Apiúna,TRANSPORTE,Superior Completo,7,Vale do Itajaí
360,Arabutã,AGROPECUÁRIA,Fundamental completo,4,Alto Uruguai Catarinense
361,Arabutã,AGROPECUÁRIA,Fundamental incompleto,8,Alto Uruguai Catarinense
362,Arabutã,AGROPECUÁRIA,Medio completo,22,Alto Uruguai Catarinense
363,Arabutã,AGROPECUÁRIA,Superior Incompleto,1,Alto Uruguai Catarinense
364,Arabutã,COMÉRCIO,Fundamental completo,6,Alto Uruguai Catarinense
